Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42173955,23/02/2025,Quỹ căn bán chuyển nhượng giá tốt nhất Times city- Park Hill-Premium tháng 2/2025. Lh 0902 121 ***,"6,9 tỷ",80 m²,"86,25 tr/m²",2,2,·,"20.9946137201963, 105.868457041159"
42232193,22/02/2025,"Chính chủ bán gấp giá sốc: Căn Góc Hoa Hậu 3PN sáng Park5 - Park Hill - Times City, Tầng đẹp 12A","9,5 tỷ","101,3 m²","93,78 tr/m²",3,2,·,"20.9937020454817, 105.867811095954"
35604056,21/02/2025,Ban quản lý dự án bán căn hộ Times City và Park Hill giá rẻ 300 - 800tr cập nhật mới nhất 2025,7 tỷ,95 m²,"73,68 tr/m²",2,2,·,"20.9947910308838, 105.86784362793"
42214779,20/02/2025,"Cập nhật quỹ căn hộ Times City, Park Hill tháng 2/2025 giá tốt. Liên hệ: 0913 406 ***","6,75 tỷ",79 m²,"85,44 tr/m²",2,2,·,"20.99526998971331, 105.86750932836563"
42208366,19/02/2025,Cập nhật 24/7 quỹ căn chuyển nhượng Times City - Park Hill giá siêu tốt,"7,4 tỷ",80 m²,"92,5 tr/m²",2,N/A,·,"20.994826379477, 105.867912715716"
41938029,16/02/2025,Chính chủ bán 6 căn hộ chung cư Sunshine Garden từ 1N - 4N giá tốt - Liên hệ em Tuấn Anh 0889 108 ***,"6,4 tỷ",129 m²,"49,61 tr/m²",4,3,·,"20.99620264133976, 105.87310491579765"
42034096,14/02/2025,"Bán CC Times City, Minh Khai, 108m2 tràn ngập ánh sáng, giá thỏa thuận, 2PN, 2WC",Giá thỏa thuận,108 m²,N/A,N/A,N/A,·,"20.9947507777791, 105.867564887491"
41748710,21/02/2025,Chuyên chuyển nhượng căn hộ Sunshine Garden quỹ căn đa dạng giá tốt nhất - Em Long 0355 863 ***,"6,5 tỷ",108 m²,"60,18 tr/m²",3,N/A,"Vĩnh Tuy, Hai Bà Trưng","20.99687867028431, 105.87341173012668"
42213980,21/02/2025,Chính chủ bán căn hộ CC 70 Võ Thị Sáu - quận Hai Bà Trưng diện tích 67m/76m2 - giá chỉ 3.9 tỷ,"3,9 tỷ",76 m²,"51,32 tr/m²",2,1,"Bách Khoa, Hai Bà Trưng","21.0056631315477, 105.854986940543"
35517026,20/02/2025,Quỹ căn chuyển nhượng cắt lỗ rẻ nhất Sunshine Garden - Em Cường 0976 044 ***,"6,7 tỷ",95 m²,"70,53 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.9974530247871, 105.873439465426"
42221139,20/02/2025,Bán căn góc 3PN sáng Times City giá rẻ nhất TT chỉ 8.6 tỷ,"8,6 tỷ",103 m²,"83,5 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.99444487991854, 105.86857980720127"
41629408,20/02/2025,Siêu thị căn hộ cắt lỗ Sunshine Garden. Căn giá tốt dành cho khách ở thực. Cao Tuấn Anh 0889 108 ***,"6,5 tỷ",118 m²,"55,08 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.9966850280762, 105.873847961426"
42208234,19/02/2025,Quỹ căn hộ bán Times City tháng 2 giá cắt lỗ 300 - 500 tr/căn. Liên hệ - 0702 272 ***,"5,8 tỷ",83 m²,"69,88 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9946892094957, 105.867767467792"
41301608,19/02/2025,"Bán căn penthouse & Duplex toà nhà Sunshine Garden sát Time City. Diện tích 340m2, full nội thất",Giá thỏa thuận,340 m²,N/A,N/A,N/A,"Vĩnh Tuy, Hai Bà Trưng","20.996799653567248, 105.87371404911623"
38384711,19/02/2025,Bán căn góc 4 phòng ngủ 140m2 chung cư Sunshine Garden,"6,68 tỷ",140 m²,"47,71 tr/m²",4,3,"Vĩnh Tuy, Hai Bà Trưng","20.9966850280762, 105.873847961426"
42186338,17/02/2025,"Bán nhanh căn 2n2vs, 83m, 6.1 tỷ. LH 0869 221 ***","6,1 tỷ",83 m²,"73,49 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.994759001316144, 105.86751384490191"
42184943,17/02/2025,"Bán gấp 2 ngủ rộng - 95m2, có lốt ôtô, giá chỉ 7,8 tỷ rẻ nhất thị trường","7,8 tỷ",95 m²,"82,1 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.99436720798439, 105.86786173269522"
41853120,15/02/2025,Duy nhất !Cần chuyển nhượng CH 4PN 128m2 giá 6 tỷ 680 bao phí. Tặng chiết khấu 10-20% gói nội thất,"6,68 tỷ",129 m²,"51,78 tr/m²",4,3,"Vĩnh Tuy, Hai Bà Trưng","20.997128633245186, 105.8732715841798"
39363328,09/02/2025,Mua bán chuyển nhượng Sunshine Garden - Mr. Anh Linh: 0825 326 ***,"6,5 tỷ",140 m²,"46,43 tr/m²",4,3,"Vĩnh Tuy, Hai Bà Trưng","20.9966850280762, 105.873847961426"
35663984,23/02/2025,Quỹ căn hộ 2PN 3PN rao bán T2.2024 giá rẻ nhất Imperia đủ loại diện tích. LH số 0947 418 ***,"5,8 tỷ","74,83 m²","77,51 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9979349264688, 105.866389746877"
40704046,23/02/2025,"Bán nhà tập thể Đài truyền hình Việt Nam, Vĩnh Tuy, Hai Bà Trưng, Sát cổng trường ĐH, 120m2, 3.25tỷ","3,25 tỷ",120 m²,"27,08 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.9984853, 105.8686635"
42148417,23/02/2025,Chính chủ cần bán căn hộ cắt lỗ 108m2 chỉ 6 tỷ 5 giá cực tốt tại dự án Sunshine Garden,"6,5 tỷ",108 m²,"60,18 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.996656468093676, 105.8738332873968"
26489096,23/02/2025,"Thông báo mở bán CHCC Imperia Sky Garden 423 Minh Khai, căn 2PN 3PN, LH TPKD 0965 180 ***",Giá thỏa thuận,"81,74 m²",N/A,2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9984378814697, 105.866737365723"
42210768,22/02/2025,"Vinhomes Times City cắt lỗ căn góc 3N tầng trung ban công nam đẹp của toà, nhà sửa đẹp 0776 455 ***","9,5 tỷ",115 m²,"82,61 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.996856770499203, 105.86563674635107"
40606356,21/02/2025,"Tổng hợp một số căn hộ giá tốt tại Times City, Park Hill năm 2025","6,8 tỷ",80 m²,85 tr/m²,2,N/A,"Vĩnh Tuy, Hai Bà Trưng","20.9943332672119, 105.867561340332"
42232820,21/02/2025,Bán căn góc 3 phòng ngủ toà Park Hill giá cực rẻ chỉ hơn 9 tỷ. Anh chị có nhu cầu LH: 0387 196 ***,"9,4 tỷ",110 m²,"85,46 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.9947312957512, 105.867560767322"
33560194,21/02/2025,"Ban quản lí gửi em bán gấp căn hộ 2PN, 3PN dự án Imperia Sky Garden. LH xem nhà TPKD 0387 032 ***",Giá thỏa thuận,"74,83 m²",N/A,2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9984378814697, 105.866737365723"
42048641,21/02/2025,"Bán CC Times City Park Hill thuộc toà P02, giá 6,75 tỷ, 80m2, 2PN, 2WC, pháp lý đầy đủ 0974 532 ***","6,75 tỷ",80 m²,"84,38 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.994057064019977, 105.8674925714697"
42230290,21/02/2025,"Chính chủ bán căn hộ tập thể phố Võ Thị Sáu, quận Hai Bà Trưng, DT 70m2, giá 3,85 tỷ","3,85 tỷ",70 m²,55 tr/m²,2,1,"Thanh Nhàn, Hai Bà Trưng","21.0059470517083, 105.855091237975"
42229189,21/02/2025,Bán căn 3 ngủ góc tại Imperia view sông tầng đẹp giá tốt full đồ như hình,"7,64 tỷ",98 m²,78 tr/m²,3,2,"Vĩnh Tuy, Hai Bà Trưng","20.998473957267418, 105.86699920363587"
42219929,20/02/2025,Vợ chồng tôi bán căn 3PN 118m2 view thoáng đẹp chung cư Hoà Bình Green giá rẻ nhất thị trường,7 tỷ,118 m²,"59,32 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","21.0007530429655, 105.869932049701"
42030664,20/02/2025,"Chính chủ bán 3 ngủ, 2 vệ sinh rộng 117m2, tầng trung, nhà mới, view thành phố tại Hoà Bình Green",7 tỷ,117 m²,"59,83 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","21.000265, 105.869934"
42210519,19/02/2025,"Bán nhà tập thể tầng 1 TT Công Nghiệp nhẹ, Thọ Lão, HBT, HN","2,4 tỷ",20 m²,120 tr/m²,2,1,"Đồng Nhân, Hai Bà Trưng","21.0112180498336, 105.857547182312"
42108152,19/02/2025,"Bán căn hộ chung cư đẹp 1PN, 4,5 tỷ, 53m2 tại Times City, Hai Bà Trưng, HN - LH: 0989 555 ***","4,5 tỷ",53 m²,"84,91 tr/m²",1,1,"Vĩnh Tuy, Hai Bà Trưng","20.9947202724215, 105.867864966867"
