Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
41960567,20/02/2025,"Chính chủ bán căn hộ DTSD 110m2 tầng 3, SĐCC, TT Ban TC Trung ương, ngõ 195 Đội Cấn, Ba Đình Hà Nội","5,8 tỷ",110 m²,"52,73 tr/m²",4,2,·,"21.0349663185301, 105.825329822471"
42233544,21/02/2025,"Quỹ căn độc quyền, giá tốt nhất tại Metropolis, khách giao dịch trực tiếp chủ nhà. LH: 0933 218 ***","12,3 tỷ",83 m²,"148,19 tr/m²",2,2,"Ngọc Khánh, Ba Đình","21.03315596050234, 105.81623258205056"
41924361,20/02/2025,"Quỹ căn nội bộ The Nelson tầng đẹp giá niêm yết, chiết khấu cao nhất cho quý khách trong tháng 2",Giá thỏa thuận,106 m²,N/A,3,N/A,"Thành Công, Ba Đình","21.020341785029647, 105.81844024609879"
42084659,20/02/2025,HOT! Quỹ căn ngoại giao đẹp nhất tầng 16 đến 27 (Penhouse) DA The Nelson giá tốt nhất thị trường,Giá thỏa thuận,"106,1 m²",N/A,3,N/A,"Thành Công, Ba Đình","21.020790495114, 105.819169031891"
41121730,19/02/2025,Giá tốt (135tr/m2): Quỹ căn Vinhomes Metropolis ngày 19/02 SDT 0913 809 ***,24 tỷ,146 m²,"164,38 tr/m²",4,3,"Ngọc Khánh, Ba Đình","21.033200593455224, 105.81757533365791"
42202484,18/02/2025,Bán CC lô góc 100 m2 phố Văn Cao tặng chỗ đỗ ô tô sở hữu vĩnh viễn,"8,5 tỷ",100 m²,85 tr/m²,3,2,"Liễu Giai, Ba Đình","21.0403751111165, 105.816208528728"
42169667,14/02/2025,"Chung cư Cao cấp The Golden Armor B6 Giảng Võ, Ba Đình  84m2 , 2PN, 2 WC,  giá tốt nhất khu vực.","10,13 tỷ",84 m²,"120,6 tr/m²",2,2,"Giảng Võ, Ba Đình","21.0297121962495, 105.821629727196"
42025902,14/02/2025,"Bán căn hộ 1PN + 1 nhà TT Đào Tấn, Linh Lang, Ba Đình. DT 50m2 full NT, sổ đỏ chính chủ. Giá 2,9 tỷ","2,9 tỷ",50 m²,58 tr/m²,1,1,"Cống Vị, Ba Đình","21.0327771945018, 105.808879840363"
41591739,14/02/2025,"CĐT Chính thức mở bán đợt 1 giá cực tốt tầng 18, hỗ trợ miễn lãi tới quý 3.2025",10 tỷ,83 m²,"120,48 tr/m²",2,2,"Thành Công, Ba Đình","21.020761690725905, 105.81901154918722"
41482508,14/02/2025,"Tôi chính chủ bán tập thể D7 tầng 2 Thành Công, ngõ 9 Nguyên Hồng mặt phố, 3 thoáng, 3 ngủ, full đồ","4,26 tỷ",100 m²,"42,6 tr/m²",3,2,"Thành Công, Ba Đình","21.021523965951, 105.8122492524"
