Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
39668261,23/02/2025,Phan Hằng Group tổng hợp 50 căn hộ GoldMark City loại 2-3-4 Phòng Ngủ chuyển nhượng giá cực tốt,"5,1 tỷ",83 m²,"61,45 tr/m²",2,2,"Phú Diễn, Bắc Từ Liêm","21.0442333221436, 105.767318725586"
42245542,23/02/2025,Em Oanh cư dân Goldmark tập hợp Full quỹ căn 2 ngủ - 3 ngủ -4 ngủ giá từ 50 tr/m. LH 0937 941 ***,"5,6 tỷ",115 m²,"48,7 tr/m²",3,2,"Phú Diễn, Bắc Từ Liêm","21.04451349170997, 105.7671629757057"
42177928,23/02/2025,Phan Hằng Group tổng hợp 35 căn hộ Green Stars loại 2 & 3 ngủ giá chuyển nhượng tốt nhất thị trường,"6,3 tỷ",102 m²,"61,76 tr/m²",3,N/A,"Cổ Nhuế 1, Bắc Từ Liêm","21.05222236496149, 105.78049263745493"
42160436,22/02/2025,"Bán căn 98m2 Sunshine City giá 7,2 tỷ bao phí","7,2 tỷ",98 m²,"73,47 tr/m²",3,2,"Đông Ngạc, Bắc Từ Liêm","21.083585866600195, 105.79122054713159"
41967258,22/02/2025,"Bán căn 02 tòa S6 view nội khu - 97,7m2 Sunshine City giá 7,850 tỷ bao phí, có sổ, có slot đỗ ôtô","7,85 tỷ","97,7 m²","80,35 tr/m²",3,2,"Đông Ngạc, Bắc Từ Liêm","21.0841929363365, 105.791089100467"
40371649,22/02/2025,Cập nhật danh sách căn bán chuyển nhượng mới nhất Sunshine City Ciputra Hà Nội. Ms Hiền 0961 702 ***,"7,2 tỷ","104,2 m²","69,1 tr/m²",3,2,"Đông Ngạc, Bắc Từ Liêm","21.0843658447266, 105.791664123535"
39667628,21/02/2025,Phan Hằng Group tổng hợp danh sách 30 căn hộ An Bình City Loại 2 & 3 PN chuyển nhượng giá cực tốt,"5,7 tỷ",90 m²,"63,33 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.0495662689209, 105.778594970703"
39223048,21/02/2025,"Cần bán CH DT từ 74m2, 83, 90, 115m2 tại chung cư An Bình căn 3PN và 2PN giá rẻ, view hồ đẹp","5,6 tỷ",90 m²,"62,22 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.0495662689209, 105.778594970703"
42227429,21/02/2025,"Bán toàn bộ quỹ căn Goldmark City 136 Hồ Tùng Mậu từ 2PN - 3PN - 4PN giá từ 60tr/m2, LH 0948 507 ***","4,8 tỷ",78 m²,"61,54 tr/m²",2,2,"Phú Diễn, Bắc Từ Liêm","21.0441988308983, 105.767012828056"
40907957,21/02/2025,E Chính cư dân GMC bán full quỹ căn chuyển nhượng 2 3 và 4PN tại đây Giá từ 48 tr/m2 hỗ trợ vay 80%,"6,3 tỷ",130 m²,"48,46 tr/m²",3,4,"Phú Diễn, Bắc Từ Liêm","21.04485535970542, 105.7677264064039"
42160676,20/02/2025,"Bán căn 98.4m2 view nội khu Sunshine City giá 7,6 tỷ bao phí, có sổ","7,6 tỷ","98,4 m²","77,24 tr/m²",3,2,"Đông Ngạc, Bắc Từ Liêm","21.0843527706103, 105.791300602321"
38330159,20/02/2025,"Sunshine City - TH quỹ căn hộ giá tốt tháng 10. Từ 01 PN, 02 PN, 03 PN, duplex. Pháp lý chuẩn","7,2 tỷ",103 m²,"69,9 tr/m²",3,2,"Đông Ngạc, Bắc Từ Liêm","21.084669635610982, 105.79124132243251"
40076519,20/02/2025,Độc quyền quỹ căn 2-3-4PN cần bán gấp sau tết tại Goldmark City-cập nhật hàng ngày.LH: 0399 028 ***,"6,6 tỷ",110 m²,60 tr/m²,3,2,"Phú Diễn, Bắc Từ Liêm","21.0442333221436, 105.767318725586"
38770890,20/02/2025,"Độc quyền quỹ căn hộ 2 - 3PN An Bình City cần bán gấp sau tết, cập nhật hàng ngày LH: 0399 028 ***","5,9 tỷ",90 m²,"65,56 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.049566, 105.778595"
42208436,20/02/2025,"Chính chủ cần bán căn 2PN tại Kosmo Tây Hồ, tầng cao, view Hồ Tây, full NT sẵn sổ đỏ","9,3 tỷ",85 m²,"109,41 tr/m²",2,2,"Xuân Tảo, Bắc Từ Liêm","21.0683675908702, 105.802640529613"
42059683,19/02/2025,Cần bán căn hộ 172m 4 phòng ngủ 3 WC tòa Saphire 1 Goldmark City. Đầy đủ nội thất sẵn sàng bàn giao,Giá thỏa thuận,172 m²,N/A,4,3,"Phú Diễn, Bắc Từ Liêm","21.04432379273682, 105.76702580200617"
41106931,19/02/2025,"Em Tiến chuyên hỗ trợ chuyển nhượng tại Goldmark City quỹ căn 2,3 và 4PN cập nhật liên tục","6,5 tỷ",104 m²,"62,5 tr/m²",3,2,"Phú Diễn, Bắc Từ Liêm","21.0442333221436, 105.767318725586"
38855157,19/02/2025,Cập nhật quỹ căn bán chung cư Sunshine City Ciputra tháng 1/2025 hàng đẹp - giá cạnh tranh,"6,1 tỷ","80,3 m²","75,96 tr/m²",2,2,"Đông Ngạc, Bắc Từ Liêm","21.0843658447266, 105.791664123535"
42207660,19/02/2025,Em Huế Starland có khoảng 25 căn hộ 2PN & 3PN An Bình City bán sau tết giá tốt nhất thị trường,"5,9 tỷ",90 m²,"65,56 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.049774825562, 105.778763703831"
20616054,18/02/2025,"Tôi bán căn hộ chung cư An Bình City, căn góc tầng trung, chuyển công tác nên bán lại 0971 335 ***",Giá thỏa thuận,84 m²,N/A,3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.0495662689209, 105.778594970703"
42130533,18/02/2025,Quỹ căn chuyển nhượng Sunshine City Ciputra giá tốt tháng 2/2025. LH 0985 525 ***,"6,5 tỷ",98 m²,"66,33 tr/m²",3,2,"Đông Ngạc, Bắc Từ Liêm","21.08447301473665, 105.79180147570536"
36922042,18/02/2025,"Cập nhật mới nhất full quỹ căn 2PN từ 4,5 tỷ, 3PN 5,8 tỷ, 4PN từ 8 tỷ cam kết rẻ nhất Goldmark City","4,5 tỷ",84 m²,"53,57 tr/m²",2,2,"Phú Diễn, Bắc Từ Liêm","21.04414926855131, 105.76695974715525"
42168692,14/02/2025,Anh Trai cần tiền để đầu tư. Nên muốn bán lại căn hộ toà Green Stars 234 - Phạm Văn Đồng,"4,65 tỷ",61 m²,"76,23 tr/m²",2,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.052134864668155, 105.77943007909901"
40911380,22/02/2025,"Bán căn góc duplex Sunshine City Ciputra - 194.4m2 tòa S5 full nội thất hiện đại, sẵn sổ sang tên","16,8 tỷ","194,4 m²","86,42 tr/m²",5,4,"Đông Ngạc, Bắc Từ Liêm","21.08402679301832, 105.79166123045039"
42207288,22/02/2025,"Bán CC Green Stars, Phạm Văn Đồng, Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội, giá cực chất 5,05 tỷ, 74m2","5,05 tỷ",74 m²,"68,24 tr/m²",2,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.052634383176322, 105.7792752182307"
42233903,21/02/2025,"CC 212 2PN, 1WC, 68m2, Không gian rộng rãi, rất thích hợp cho cuộc sống năng động 2,7 tỷ 0328 016 ***","2,7 tỷ",68 m²,"39,71 tr/m²",2,1,"Xuân Đỉnh, Bắc Từ Liêm","21.0749188794099, 105.789299856737"
42025961,21/02/2025,"Bán căn hộ 2PN - 88m2 chung cư CT1 Đỗ Nhuận, Xuân Đỉnh. Đồ cơ bản, tầng đẹp. Giá: 3,95 tỷ","3,95 tỷ",69 m²,"57,25 tr/m²",2,1,"Xuân Đỉnh, Bắc Từ Liêm","21.0654498608981, 105.791749412083"
40057625,21/02/2025,Chuyên bán căn hộ cao cấp tháp đôi Hanjadinn(NO1-T6 & T7) Ngoại Giao Đoàn - Giá tốt nhất thị trường,Giá thỏa thuận,"101,2 m²",N/A,3,N/A,"Xuân Tảo, Bắc Từ Liêm","21.0630493164063, 105.797309875488"
41406669,21/02/2025,"Bán căn hộ CC Kosmo 2PN - 3PN, DT từ 76m2; 87m2; 100; 102; 118; 186m2 view đẹp. LH: 0839 185 ***",Giá thỏa thuận,96 m²,N/A,2,2,"Xuân Tảo, Bắc Từ Liêm","21.0686326682966, 105.8027393213"
42227773,21/02/2025,"Bán căn hộ chung cư tại Sunshine City, 78 triệu VND, 97.2 m2, 3 PN, 2WC","7,58 tỷ","97,2 m²",78 tr/m²,3,2,"Đông Ngạc, Bắc Từ Liêm","21.084756580716437, 105.79189954529237"
42191048,21/02/2025,"Chính chủ cần chuyển nhượng căn hộ 2 & 3PN, ở An Bình City, giá tốt hơn 4,5 tỷ bao phí sang tên",Giá thỏa thuận,114 m²,N/A,3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.049693457545377, 105.7781130599192"
42223506,20/02/2025,Bán căn 2 phòng ngủ 74m2 CC Green Stars 234 Phạm Văn Đồng,"5,15 tỷ",74 m²,"69,6 tr/m²",2,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.052013481597374, 105.78062552564771"
41875191,20/02/2025,"Tôi chính chủ bán căn hộ 3N Kosmo Tây Hồ, sát penthouse view trọn vẹn hồ Tây và sông Hồng","25,2 tỷ",168 m²,150 tr/m²,3,2,"Xuân Tảo, Bắc Từ Liêm","21.068034630950027, 105.80353647299273"
42217583,20/02/2025,"PKD có giỏ hàng đầy đủ các căn hộ Kosmo Tây Hồ, giao dịch trực tiếp chính chủ mua bán giá tốt nhất",Giá thỏa thuận,118 m²,N/A,3,2,"Xuân Tảo, Bắc Từ Liêm","21.069029112086866, 105.80290491994674"
42217353,20/02/2025,"Bảng hàng chung cư Starlake Tây Hồ Tây cần bán tháng 2/2025, sẵn sổ, nhận ký gửi mua bán cho thuê","15,5 tỷ",129 m²,"120,16 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.0522132003278, 105.79190390014"
39896407,20/02/2025,"Cập nhật hàng ngày quỹ căn hộ 2 - 3PN tại Green Stars cần bán gấp sau tết, liên hệ:Mai 0399 028 ***","3,9 tỷ",66 m²,"59,09 tr/m²",2,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.0523004290378, 105.781038334496"
42215836,20/02/2025,Bán căn 2 phòng ngủ CC Green Stars 234 Phạm Văn Đồng,"4,36 tỷ","60,2 m²","72,42 tr/m²",2,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.052409247178108, 105.78018949463245"
42045059,20/02/2025,Trực tiếp ban quản lý toà nhà cập nhật quỹ căn mua bán chuyển nhượng chung cư Goldmark City giá tốt,"5,5 tỷ",100 m²,55 tr/m²,3,2,"Phú Diễn, Bắc Từ Liêm","21.0448980039241, 105.767836742238"
41156374,19/02/2025,Em Tiến chuyên hỗ trợ chuyển nhượng tại An Bình City quỹ căn 2 và 3PN cập nhật liên tục và tốt nhất,"6,4 tỷ",90 m²,"71,11 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.05040134708978, 105.77839406389172"
42206788,19/02/2025,Tôi chinh chủ cần bán căn hộ 3PN tại khu chung cư resco Phạm Văn Đồng,"4,55 tỷ",95 m²,"47,9 tr/m²",3,2,"Cổ Nhuế 2, Bắc Từ Liêm","21.05877065035246, 105.78316701977397"
42173749,19/02/2025,"Bán căn duplex Sunshine City Ciputra full nội thất nhà mới hoàn thiện, liên hệ: 0965 784 ***",20 tỷ,193 m²,"103,63 tr/m²",N/A,N/A,"Đông Ngạc, Bắc Từ Liêm","21.084579344811058, 105.79220138858575"
42097326,19/02/2025,Siêu phẩm duplex tòa S5 Sunshine City 193m2 full nội thất Luxury giá 20 tỷ,20 tỷ,193 m²,"103,63 tr/m²",4,3,"Đông Ngạc, Bắc Từ Liêm","21.084491423238806, 105.79159985484797"
