Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42214093,21/02/2025,"Chính chủ cần bán CC 65m2, giá 4,2 tỷ (bao phí sang tên) tại tòa Bắc Hà Lucky, Cầu Giấy, Hà Nội","4,2 tỷ",65 m²,"64,61 tr/m²",2,2,·,"21.04310350888416, 105.78158081682544"
32597757,20/02/2025,Cam kết quỹ căn hộ giá chuẩn - tốt nhất dự án Vinhomes D'Capitale Trần Duy Hưng - Trung Hiếu TSH,"6,3 tỷ",72 m²,"87,5 tr/m²",2,2,·,"21.0058059692383, 105.794372558594"
42141346,19/02/2025,Chuyên bán - D'Capitale Trần Duy Hưng - cập nhật mới nhất T2/2025,"9,2 tỷ",100 m²,92 tr/m²,N/A,N/A,·,"21.005976704094678, 105.79396460465257"
42198962,18/02/2025,(Giá mềm) Soha Land cập nhật quỹ bán căn hộ chung cư 1PN 2PN 3PN Vinhomes D'Capitale Trần Duy Hưng,"6,2 tỷ",76 m²,"81,58 tr/m²",2,2,·,"21.0058911755132, 105.794466965158"
38666429,22/02/2025,"Tổng hợp các căn hộ bán tại Thăng Long NO1, 87m2, 91m2, 108m2, 112m2, 117m2, 131m2, 162m2, 173m2","5,5 tỷ",117 m²,"47,01 tr/m²",3,2,"Trung Hòa, Cầu Giấy","21.00269889831543, 105.79242706298828"
41700784,21/02/2025,"Cần bán căn hộ 4 ngủ chung cư Thăng Long Number One view công viên hồ Thanh Xuân, LH 0932 325 ***","10,3 tỷ",139 m²,"74,1 tr/m²",4,2,"Trung Hòa, Cầu Giấy","21.0026149395852, 105.792019803478"
31586114,21/02/2025,"Quỹ căn hộ 87m2, 91m2, 116m2, 130m2, 161m2 173m tại Thăng Long No1. Giá chuẩn, ko chào ảo, câu view","10,03 tỷ",173 m²,58 tr/m²,4,3,"Trung Hòa, Cầu Giấy","21.003003793238133, 105.7922535647463"
42015240,20/02/2025,TSH chuyển nhượng căn hộ D'Capitale Trần Duy Hưng Quỹ căn studio - 1 - 2 - 3PN giá tốt 0911 149 ***,"2,6 tỷ",38 m²,"68,42 tr/m²",1,1,"Trung Hòa, Cầu Giấy","21.005472663636002, 105.79469369850104"
40740719,20/02/2025,Mới. Chủ nhà tin tưởng gửi bán nhiều căn hộ 2N3N4N giá tốt nhất thị trường được cập nhật liên tục,"6,8 tỷ",117 m²,"58,12 tr/m²",3,2,"Trung Hòa, Cầu Giấy","21.00269889831543, 105.79242706298828"
42217932,20/02/2025,"Hàng đẹp - giá tốt. Chủ nhà cần bán căn 3PN2VS rộng 168m2 full nội thất, giá 97 tr/m2 có thỏa thuận","16,3 tỷ",168 m²,97 tr/m²,3,2,"Trung Hòa, Cầu Giấy","21.00390166308169, 105.79866203993345"
