Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location
Suất ngoại giao căn hộ 2PN (54m2) The Charm An Hưng - Hà Đông,Giá thỏa thuận,54 m²,N/A,2,2,·
Bán căn 3PN (90 - 95m2) dự án The Charm An Hưng - LH booking 0918 518 ***,Giá thỏa thuận,95 m²,N/A,3,2,"La Khê, Hà Đông"
Cập nhật quỹ căn 2 - 3 - 4 ngủ Hyundai liên tục tại đây ạ - Em Đạt cư dân Hyundai,8 tỷ,136 m²,"58,82 tr/m²",3,2,"Hà Cầu, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Kiến Hưng, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Quang Trung, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Vạn Phúc, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"Mỗ Lao, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
N/A,N/A,N/A,N/A,N/A,N/A,"La Khê, Hà Đông"
Cập nhật quỹ căn chuyển nhượng mới nhất Hyundai Hillstate - E. Phượng cư dân Hyundai,"8,5 tỷ",139 m²,"61,15 tr/m²",3,2,"Hà Cầu, Hà Đông"
"06 Căn hộ cao cấp Sun Hà Nam quỹ nội bộ CĐT giá gốc rẻ hơn tới 30%, chỉ 1,6 tỷ. Vốn 500tr","1,6 tỷ",68 m²,"23,53 tr/m²",2,2,"Phủ Lý, Hà Nam"
Sắp ra mắt Tháp đôi Kepler Land biểu tượng KĐT Mỗ Lao giá TỐT nhất Hà Đông chỉ từ 7x Triệu/m2,Giá thỏa thuận,45 m²,N/A,1,1,"Mỗ Lao, Hà Đông"
Cập nhật quỹ căn đang bán giá rẻ nhất tại chung cư Park Kiara KĐT ParkCity Hà Nội. LH 0968 450 ***,"8,6 tỷ",91 m²,"94,5 tr/m²",3,2,"La Khê, Hà Đông"
Xả hàng đầu năm quỹ căn giá tốt Mulberry Lane - LH: 0981 960 ***,Giá thỏa thuận,123 m²,N/A,3,2,"Mỗ Lao, Hà Đông"
"Hiếm siêu rẻ chỉ 7,x tỷ DT 139m2 căn to nhất Seasons Avenue S4 - 0981 960 ***",Giá thỏa thuận,139 m²,N/A,4,2,"Mỗ Lao, Hà Đông"
"Bán căn góc 2N, bc TN 82m2 chung cư cao cấp Kepler Land Mỗ Lao, view toàn khu đô thị",Giá thỏa thuận,82 m²,N/A,2,2,"Hà Đông, Hà Nội"
"Căn hộ The Charm An Hưng, 3 suất ngoại giao căn góc 3pn cực đẹp, giá đầu tư , vào ký hdmb luôn","7,32 tỷ","91,5 m²",80 tr/m²,3,3,"La Khê, Hà Đông"
"Bán căn hộ 4 ngủ chung cư Mulberry Lane, giá nhỉnh 6 tỷ","6,9 tỷ",120 m²,"57,5 tr/m²",4,N/A,"Mỗ Lao, Hà Đông"
"Bán quỹ căn 2/3/4 ngủ tại dự án HPC Landmark 105 giá tốt nhất cập nhật liên tục. Từ 4,9tỷ",Giá thỏa thuận,118 m²,N/A,3,3,"La Khê, Hà Đông"
"Tổng hợp quỹ căn bán tại Xuân Mai 1PN + 1, 2PN, 3PN. SĐT/zalo: 0376 540 ***","3,13 tỷ",70 m²,"44,71 tr/m²",2,2,"Yên Nghĩa, Hà Đông"
"BÁN CĂN GÓC 3PN ĐẸP NHẤT TÒA V8 - THE VESTA, HÀ ĐÔNG","3,3 tỷ",69 m²,"47,83 tr/m²",3,2,"Phú Lãm, Hà Đông"
Quỹ căn ngoại giao Grand Sunlake mới nhất 2025,"4,8 tỷ",96 m²,50 tr/m²,3,2,"Văn Quán, Hà Đông"
"15 suất ngoại giao giá tốt nhất cho khách hàng mua dự án The Charm An Hưng Hà Đông, lh 0983 119 ***",Giá thỏa thuận,77 m²,N/A,2,2,"La Khê, Hà Đông"
"Tổng hợp căn bán 2pn, 3pn dự án chung cư HH2 Xuân Mai Complex Dương Nội",Giá thỏa thuận,62 m²,N/A,2,2,"Yên Nghĩa, Hà Đông"
"Bán Căn hộ 3PN view đẹp tại KĐT Xa La, 3,48 tỷ, 84m2, SĐCC , Lh 0373 668 ***","3,48 tỷ",84 m²,"41,43 tr/m²",3,2,"Phúc La, Hà Đông"
"Bán căn hộ chung cư đẹp tại Lê Trọng Tấn, 5,6 tỷ, 140m2, đầy đủ nội thất","5,6 tỷ",140 m²,40 tr/m²,3,2,"La Khê, Hà Đông"
Tổng hợp các căn hộ đang bán 2PN 3PN từ 49-107m2 toà Xuân Mai Complex nhà đẹp giá rẻ LH 0862 578 ***,Giá thỏa thuận,70 m²,N/A,2,2,"Yên Nghĩa, Hà Đông"
