Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location
Ban căn hộ tầng 2 view sân vườn - phố VIP Lê Thánh Tông - Hoàn Kiếm - Hà Nội,"6,96 tỷ",80 m²,"86,94 tr/m²",2,1,"Phan Chu Trinh, Hoàn Kiếm"
Ban quản lý cần bán căn hộ 1 T Place - 30A - Lý Thường Kiệt - Hà Nội,"10,8 tỷ",52 m²,"207,69 tr/m²",1,1,"Hàng Bài, Hoàn Kiếm"
"Bán căn hộ dịch vụ homestay, đường Ngô Quyền, Hoàn Kiếm. DT 50m2, SĐCC, giá 4,5 tỷ","4,5 tỷ",50 m²,90 tr/m²,1,1,"Lý Thái Tổ, Hoàn Kiếm"
"Bán căn hộ 116m2 vị trí vàng lõi quận Hoàn Kiếm giá 7,x tỷ",Giá thỏa thuận,116 m²,N/A,2,2,"Trần Hưng Đạo, Hoàn Kiếm"
Mở bán tòa PR2 mặt hồ San Hô - View đẹp nhất - Vip nhất - chiết khấu 12% cho khách booking sớm,Giá thỏa thuận,68 m²,N/A,2,2,"Gia Lâm, Hà Nội"
Siêu Hiếm - Phố cổ Hà Nội - Hộ Khẩu Hoàn Kiếm - Chính chủ nhượng lại căn hộ cho vk ck trẻ,"5,4 tỷ","49,6 m²","108,87 tr/m²",2,2,"Cửa Đông, Hoàn Kiếm"
"Bán gấp CH tập thể 36 Hai Bà Trưng 2PN 48m2 chào 5,9tỷ full NT sát Hàng Bài Tràng Tiền Hoàn Kiếm HN","5,9 tỷ",48 m²,"122,92 tr/m²",2,1,"Tràng Tiền, Hoàn Kiếm"
"Bán chung cư VIP phố Lý Nam Đế khu phân của Bộ Chính Trị, an ninh tuyệt đối 70m2 sổ đỏ - miễn TG","6,5 tỷ",70 m²,"92,86 tr/m²",2,2,"Cửa Đông, Hoàn Kiếm"
"Bán căn hộ cao cấp 3 phòng ngủ tại The Grand Hanoi - Đối diện Tràng Tiền Plaza, cách Hồ Gươm 100m",92 tỷ,155 m²,"593,55 tr/m²",3,N/A,"Hàng Bài, Hoàn Kiếm"
"KING CROW INFINITY - CĂN HỘ 2PN HẠNG SANG ĐỘC TÔN TRUNG TÂM TP THỦ ĐỨC, CHIẾC KHẤU 8% HTLS 30 THÁNG","8,8 tỷ",88 m²,100 tr/m²,2,2,"Thủ Đức, Hồ Chí Minh"
"Bán CC T-Place, Lý Thường Kiệt, 13 tỷ, 60m2, 2PN, 1WC, giá siêu hời",13 tỷ,60 m²,"216,67 tr/m²",2,1,"Hàng Bài, Hoàn Kiếm"
