Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location
"Trực tiếp chủ đầu tư: Căn 2 - 3N giá rẻ nhất Melody Linh Đàm, view hồ, chiết khấu 8%, tặng vàng 999","3,54 tỷ",68 m²,52 tr/m²,2,2,·
"Độc quyền! Quỹ căn 2 - 3 N Melody Linh Đàm, CK 8% + 1 cây vàng ký trực tiếp CĐT + view hồ + giá rẻ","3,53 tỷ",68 m²,"51,91 tr/m²",2,2,·
Bán căn hộ chung cư @ Home 987 Tam Trinh,"3,35 tỷ",55 m²,"60,91 tr/m²",2,2,"Yên Sở, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Hoàng Liệt, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Hoàng Liệt, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Hoàng Liệt, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Hoàng Liệt, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Đại Kim, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Hoàng Liệt, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Đại Kim, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Hoàng Liệt, Hoàng Mai"
N/A,N/A,N/A,N/A,N/A,N/A,"Đại Kim, Hoàng Mai"
Quỹ 2-3 ngủ ký trực tiếp CĐT Melody! Cam Kết giá tốt nhất dự án+View Hồ Đẹp+Full chiết khấu 53tr/m2,"3,4 tỷ",68 m²,50 tr/m²,2,2,"Hoàng Liệt, Hoàng Mai"
"06 Căn hộ cao cấp Sun Hà Nam quỹ nội bộ CĐT giá gốc rẻ hơn tới 30%, chỉ 1,6 tỷ. Vốn 500tr","1,6 tỷ",68 m²,"23,53 tr/m²",2,2,"Phủ Lý, Hà Nam"
Độc quyền! Quỹ căn 2 - 3 ngủ giá cực tốt ký trực tiếp CĐT Hà Nội Melody chỉ 53tr/m2 view hồ đẹp,"3,8 tỷ",74 m²,"51,35 tr/m²",2,2,"Hoàng Liệt, Hoàng Mai"
Hot! Mở bán quỹ 10 căn đẹp nhất Melody Linh Đàm CK 8% tặng 86tr vay ko lãi 24 tháng. LH: 0973 038 ***,"5,7 tỷ",100 m²,57 tr/m²,3,2,"Hoàng Liệt, Hoàng Mai"
"Bán căn hộ 2PN tại Hà Nội Melody Residences, 66 triệu / m2 chiết khấu thêm 8% - 0982 656 ***","4,94 tỷ","74,79 m²",66 tr/m²,2,2,"Hoàng Liệt, Hoàng Mai"
Em cần thanh khoản căn OCT1 - ĐN1 giá rẻ nhất thị trường,"4,78 tỷ",93 m²,"51,4 tr/m²",3,2,"Đại Kim, Hoàng Mai"
"Giỏ hàng độc quyền Sun Symphony, view sông Hàn, chỉ từ 47tr/m2, giá tốt nhất thị trường, CK cao","2,9 tỷ",40 m²,"72,5 tr/m²",2,1,"Sơn Trà, Đà Nẵng"
"BDS Linh Đàm cần bán các căn hộ phân khúc 1 ngủ, 2 ngủ, 3 ngủ. LH 0984 877 ***","4,4 tỷ",80 m²,55 tr/m²,3,2,"Hoàng Liệt, Hoàng Mai"
"Bán căn hộ 2 ngủ, 2VS, 80m2, tòa N04 Hanoi Melody Residences, Hoàng Mai",Giá thỏa thuận,80 m²,N/A,2,2,"Hoàng Liệt, Hoàng Mai"
Cần tiền bán rẻ hơn thị trường căn hộ Linh Đàm 2PN2WC nội thất đẹp,"3,3 tỷ",60 m²,55 tr/m²,2,2,"Đại Kim, Hoàng Mai"
Chỉ nhỉnh 1.8 tỷ có căn hộ 46m2 Chung Cư Linh Đàm,"1,8 tỷ",48 m²,"37,5 tr/m²",1,1,"Hoàng Liệt, Hoàng Mai"
chỉ 2.8 tỉ có ngay căn góc 76m chia 3 ngủ 2 vệ sinh tại HH Linh Đàm- Hoàng Mai,"2,8 tỷ",76 m²,"36,84 tr/m²",3,2,"Hoàng Liệt, Hoàng Mai"
"Bán Căn hộ 3PN, 2WC, 76m2 tại Hoàng Liệt, Hoàng Mai, Hà Nội, giá 3,09 tỷ","3,09 tỷ",76 m²,"40,66 tr/m²",3,2,"Hoàng Liệt, Hoàng Mai"
Do gd chuyển công tác nên cần bán nhanh căn 72m cc VP5 linh đàm,"4,2 tỷ",72 m²,"58,33 tr/m²",2,2,"Hoàng Liệt, Hoàng Mai"
"Bán CH Hateco Hoàng Mai, 110m2, 3PN, 2WC tại Hà Nội","5,83 tỷ",110 m²,53 tr/m²,3,2,"Yên Sở, Hoàng Mai"
"Tổng hợp quỹ căn mới nhất tòa CC Phương Đông Green Park, 52m2 98m. Sổ đỏ chính chủ. Giá từ 3tỷ/căn",Giá thỏa thuận,60 m²,N/A,2,2,"Hoàng Liệt, Hoàng Mai"
Quỹ căn hộ bán Sunshine Palace Lĩnh Nam cập nhật mới nhất - Em Cường 0976 044 ***,"5,47 tỷ",80 m²,"68,38 tr/m²",2,N/A,"Mai Động, Hoàng Mai"
"Top 1 dự án-Giá từ 4 tỷ bán căn 68m2-74m2-83m2 Green Park,view hồ. Sổ hồng lâu dài.LH:0366 261 ***",Giá thỏa thuận,68 m²,N/A,2,2,"Hoàng Liệt, Hoàng Mai"
"Chính chủ bán căn 2N, 2VS full đồ nội thất. Có slot oto. Xem nhà lúc nào cũng được",Giá thỏa thuận,67 m²,N/A,2,2,"Đại Kim, Hoàng Mai"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
"Bán rẻ ngoại giao căn 2 - 3 phòng ngủ Melody, tặng 100tr, CK 8%, vay 0% lãi suất 24th 0969 537 ***","4,2 tỷ",74 m²,"56,76 tr/m²",2,2,"Hoàng Liệt, Hoàng Mai"
