Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42165103,21/02/2025,"Quỹ căn hộ, duplex, sky villa giá rẻ nhất Sunshine Green Iconic Long Biên - em Cường 097644111","5,5 tỷ",80 m²,"68,75 tr/m²",N/A,N/A,·,"21.0410623896192, 105.896677805799"
40549943,21/02/2025,"Nhận nhà ngay 5 căn chuyển nhượng giá tốt 1PN,2PN,3PN,Duplex SS Green Iconic LB. LH 0943 223 ***","5,6 tỷ",80 m²,70 tr/m²,2,2,·,"21.0407333374023, 105.896560668945"
42214334,19/02/2025,"Quỹ căn chuyển nhượng, ngoại giao 1PN, 2PN, 3PN, duplex, penthouse. Liên hệ 0922 744 *** giá tốt nhất","8,5 tỷ",108 m²,"78,7 tr/m²",3,N/A,·,"21.0407333374023, 105.896560668945"
42121125,19/02/2025,"Bán căn hộ Valencia Garden, 4,03 tỷ, 80m2, 3PN, 2WC giá cực chất tại Đức Giang, Long Biên, Hà Nội","4,03 tỷ",80 m²,"50,38 tr/m²",3,2,·,"21.0552396678737, 105.911193535567"
42123584,19/02/2025,"Quỹ hàng tổng hợp căn hộ Valencia Garden 2PN diện tích 60m2 giá 3,3 tỷ, 3 phòng ngủ giá từ 4,1 tỷ","3,38 tỷ",60 m²,"56,33 tr/m²",2,1,·,"21.0563950696043, 105.911746901554"
42170779,22/02/2025,QUỸ CĂN GIÁ TỐT NHẤT KHAI SƠN CITY - CHIẾT KHẤU 10.5% - HỖ TRỢ LS 0% TRONG 18 THÁNG - QUÀ TẶNG 80TR,"6,5 tỷ",120 m²,"54,17 tr/m²",3,3,"Ngọc Thụy, Long Biên","21.052315282879, 105.88523049881"
41905713,21/02/2025,Mua bán chuyển nhượng Sunshine Green Iconic - Mr. Anh Linh 0825 326 ***,"5,56 tỷ",80 m²,"69,5 tr/m²",2,2,"Phúc Đồng, Long Biên","21.0400156138408, 105.89712719206"
42164654,21/02/2025,Quỹ căn chuyển nhượng cắt lỗ Giá Rẻ nhất thị trường tại Sunshine Green Iconic - Em Long 0355 863 ***,"5,4 tỷ",74 m²,"72,97 tr/m²",N/A,N/A,"Phúc Đồng, Long Biên","21.040667862370668, 105.89584684497645"
41708850,15/02/2025,CHCC Long Biên 2PN 74m2 80m2 từ 5.9 tỷ & duplex 169m2 từ 14 tỷ nhận nhà ở ngay,"6,1 tỷ",80 m²,"76,25 tr/m²",2,2,"Phúc Đồng, Long Biên","21.0407333374023, 105.896560668945"
42123493,09/02/2025,Bán căn hộ Dulex 170m2 Sunshine Green Iconic,"12,8 tỷ",170 m²,"75,29 tr/m²",3,4,"Phúc Đồng, Long Biên","21.0407019400688, 105.896838176626"
40174467,22/02/2025,"Chính chủ cần tiền bán nhanh căn 77,5m2 tại Khai Sơn 5.050 tỷ BP LH nhanh 0342 712 ***","5,05 tỷ","77,5 m²","65,16 tr/m²",2,2,"Ngọc Thụy, Long Biên","21.052190214178673, 105.88496333100672"
42239357,22/02/2025,"Hiếm! 3PN2WC valencia garden KĐT Việt Hưng full đồ, giá 4,140tr bao phí.","41,4 triệu",80 m²,"517,5 nghìn/m²",3,2,"Đức Giang, Long Biên","21.0551718154448, 105.912006358959"
42236791,22/02/2025,"BÁN QUỸ CĂN VALENCIA HÀNG CĐT VINHOME 2PN GIÁ CHỈ 3 TỶ, 3PN GIÁ CHỈ 4.1 TỶ BAO PHÍ. LH: 0962 330 ***","4,14 tỷ",80 m²,"51,75 tr/m²",3,2,"Đức Giang, Long Biên","21.062957751991053, 105.90821304215562"
