Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42246979,23/02/2025,"Bán gấp căn hộ 2PN, 61m2 tại Vinhomes Green Bay Mễ Trì, 5,3 tỷ Rẻ nhất thị trường","5,3 tỷ",61 m²,"86,88 tr/m²",2,1,·,"20.998391720721855, 105.78839903811632"
42232737,21/02/2025,"Tổng hợp quỹ căn hộ Bán Studio, 1PN - 3PN Giá Siêu Rẻ - HOT Smart City cập nhật mới nhất 21/02/2025","5,9 tỷ",94 m²,"62,77 tr/m²",3,2,·,"21.00962509905028, 105.7439931911806"
42227142,21/02/2025,"Em bán căn góc 2 phòng ngủ 64m2 full đồ mới tinh 100%, view xịn. Sẵn sổ, có hỗ trợ khách vay",Giá thỏa thuận,64 m²,N/A,2,2,·,"21.00897700156619, 105.74436826025855"
39990450,20/02/2025,"Cập nhật - Quỹ chuyển nhượng 1PN-2PN-3PN giá 2,650 tỷ bao phí - Full Đồ - Về ở ngay - Có hỗ trợ vay","2,65 tỷ",43 m²,"61,63 tr/m²",1,1,·,"21.008968590148015, 105.74386285896819"
42094093,19/02/2025,"CC bán 4 căn studio-1.7 tỷ, 1PN-2.6 tỷ, 2PN-55m-3.15 tỷ, 2PN-69m-căn góc-3.5 tỷ KĐT VH SmartCity","3,5 tỷ",69 m²,"50,72 tr/m²",2,2,·,"21.0090632883443, 105.744280152241"
42206793,19/02/2025,Chỉ còn ít suất ngoại giao 2N- 3N The Matrix One giai đoạn 2 rẻ hơn thị trường 10%,Giá thỏa thuận,80 m²,N/A,2,2,·,"21.009810582738112, 105.7739706394966"
33093016,23/02/2025,Bán toàn bộ quỹ căn Vinhomes Skylake từ 1pn - 2pn - 3pn - 4pn - Penthouse - Skyvilla. LH 0976 069 ***,"9,9 tỷ",100 m²,99 tr/m²,3,2,"Mỹ Đình 1, Nam Từ Liêm","21.0201683044434, 105.780754089355"
39195725,23/02/2025,200 Căn chuyển nhượng giá từ 7 tỷ - 8tỷ tại The Matrix One . Tư vấn giai đoạn 2 tháng 3 mở bán !,Giá thỏa thuận,"111,98 m²",N/A,3,2,"Mễ Trì, Nam Từ Liêm","21.0093860626221, 105.773872375488"
41719225,23/02/2025,Phan Hằng Group tổng hợp 30 căn hộ Skylake loại 1-2-3-4 Ngủ & Sky Villa giá chuyển nhượng cực tốt,"6,8 tỷ",75 m²,"90,67 tr/m²",2,2,"Mỹ Đình 1, Nam Từ Liêm","21.019969273827225, 105.78073606508453"
38489426,23/02/2025,"Tổng hợp 150 căn hộ giá rẻ nhất dự án Imperia Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội","4,45 tỷ",62 m²,"71,77 tr/m²",2,2,"Tây Mỗ, Nam Từ Liêm","20.9992771148682, 105.73811340332"
42242765,22/02/2025,Mở bán chung cư mini Mễ Trì Hạ 1 - 2 phòng ngủ chiết khấu cao khách mua sớm chỉ từ 1 tỷ/căn miễn TG,"1,47 tỷ",45 m²,"32,67 tr/m²",2,1,"Mễ Trì, Nam Từ Liêm","21.0138348403106, 105.781522907613"
40570286,22/02/2025,"Quỹ 66 căn chuyển nhượng 2PN-7 tỉ, 3PN, Dual Key- 11 tỉ The Matrix One- gd1, gd2 - Cam kết giá tốt.","8,67 tỷ",115 m²,"75,36 tr/m²",3,2,"Mễ Trì, Nam Từ Liêm","21.0092926461275, 105.773740944371"
42239992,22/02/2025,"Bán căn hộ Iris Gaden 30 Trần Hữu Dực , 2n2vs 60m2 và 3n2vs 135m2 giá 4,6 đến 8,2 tỷ xem nhà 24/24","4,6 tỷ",62 m²,"74,19 tr/m²",2,2,"Cầu Diễn, Nam Từ Liêm","21.030536388345215, 105.76077693977417"
40887424,22/02/2025,"The Matrix One - giai đoạn 2: Chính thức nhận booking, mua nhà từ móng - đầu tư thắng chắc",Giá thỏa thuận,37 m²,N/A,1,N/A,"Mễ Trì, Nam Từ Liêm","21.00938606262207, 105.77387237548828"
