Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location
"Cập nhật quỹ căn Heritage West Lake 2PN 93m2, 3PN 145m 149m2, 4PN 180m2, duplex 267m2 tháng 2.2025","26,5 tỷ",180 m²,"147,22 tr/m²",4,4,·
"Căn hộ Ciputra bán mới nhất toà G2G3, E1, E4E5, P1P2, L1L2, The Link345. LH 0973 148 ***","7,4 tỷ",119 m²,"62,18 tr/m²",3,2,·
Quỹ ngoại giao chuyển nhượng mới nhất tại Riverside Tây Hồ: Nhỉnh 5 tỷ/căn 2 ngủ - 7 tỷ/căn 3 ngủ,"7,04 tỷ",99 m²,"71,11 tr/m²",3,2,·
N/A,N/A,N/A,N/A,N/A,N/A,"Quảng An, Tây Hồ"
N/A,N/A,N/A,N/A,N/A,N/A,"Quảng An, Tây Hồ"
N/A,N/A,N/A,N/A,N/A,N/A,"Quảng An, Tây Hồ"
N/A,N/A,N/A,N/A,N/A,N/A,"Phú Thượng, Tây Hồ"
N/A,N/A,N/A,N/A,N/A,N/A,"Phú Thượng, Tây Hồ"
N/A,N/A,N/A,N/A,N/A,N/A,"Phú Thượng, Tây Hồ"
N/A,N/A,N/A,N/A,N/A,N/A,"Phú Thượng, Tây Hồ"
N/A,N/A,N/A,N/A,N/A,N/A,"Phú Thượng, Tây Hồ"
N/A,N/A,N/A,N/A,N/A,N/A,"Phú Thượng, Tây Hồ"
"Bán căn hộ sân vườn Golden River Tây Hồ - Rẻ hơn giá gốc CĐT 123m2 đến 494m2 view sông Hồng, hồ Tây","11,32 tỷ","141,5 m²",80 tr/m²,3,2,·
"06 Căn hộ cao cấp Sun Hà Nam quỹ nội bộ CĐT giá gốc rẻ hơn tới 30%, chỉ 1,6 tỷ. Vốn 500tr","1,6 tỷ",68 m²,"23,53 tr/m²",2,2,·
"Cần bán căn hộ Ciputra giá tốt nhất tháng 02/2025, liên hệ Ms Thư: 0989 589 ***","7,5 tỷ",121 m²,"61,98 tr/m²",3,2,·
"PKD CĐT thông báo! Quỹ căn 2PN, 3PN, 4PN, Duplex - Heritage West Lake view Hồ Tây giá tốt. T02/2025",Giá thỏa thuận,145 m²,N/A,3,3,·
Cập nhật quỹ căn chuyển nhượng Golden River - Ciputra giá tốt nhất tháng 02/2025,12 tỷ,141 m²,"85,11 tr/m²",3,2,·
"Bán căn hộ 4PN Võ Chí Công, Xuân La, Tây Hồ, Hà Nội, 9,2 tỷ, 146m2 chỉ với giá tốt","9,2 tỷ",146 m²,"63,01 tr/m²",4,2,·
"Cần bán gấp căn hộ 3PN Handico Complex, 79,4m2 view hồ công viên Thanh Xuân, giá rất hợp lý và rẻ","5,2 tỷ","79,4 m²","65,5 tr/m²",3,2,·
"Bán căn 1 ngủ, 1 khách D'.El Dorado view hồ tòa E1, tầng cao full đồ, sẵn khách thuê,4.5 tỷ bao phí","4,5 tỷ",40 m²,"112,5 tr/m²",1,N/A,"Phú Thượng, Tây Hồ"
"Quỹ căn Hertage Westlake Tây Hồ T2/2025, full đồ vào ở ngay, 12 tỷ/93m2, 23 tỷ/145m2, 26,5 tỷ/180m2",12 tỷ,93 m²,"129,03 tr/m²",3,2,"Phú Thượng, Tây Hồ"
"Tổng hợp căn hộ bán tại tòa D'. Le Roi Soleil 59 Xuân Diệu, Tây Hồ giá tốt nhất - LH: 0989 734 ***","15,1 tỷ",136 m²,"111,03 tr/m²",3,2,"Quảng An, Tây Hồ"
"Bán căn hộ chung cư Tây Hồ - D'El Dorado Tân Hoàng Minh Lạc Long Quân, view hồ Tây, nhà mới tinh!",Giá thỏa thuận,71 m²,N/A,2,2,"Xuân La, Tây Hồ"
"Bán căn góc, tầng trung, view Hồ Tây toà D'. El Dorado II. DT 76m2, 2PN 2WC. Nội thất cơ bản. 7,5tỷ","7,5 tỷ",76 m²,"98,68 tr/m²",2,2,"Xuân La, Tây Hồ"
"Bán căn góc 146m2, 3PN 2WC, full nội thất. View trực diện hồ. Và căn hộ 88m2, 2PN 2WC chưa nội thất",19 tỷ,146 m²,"130,14 tr/m²",3,2,"Quảng An, Tây Hồ"
"Căn hộ cao cấp Heritage West Lake 2PN 93m2, 3PN 149m2, 4PN 180m2, duplex 267m2. LH 0368 201 ***",14 tỷ,93 m²,"150,54 tr/m²",2,N/A,"Phú Thượng, Tây Hồ"
Tổng hợp bảng hàng chuyển nhượng căn 2&3 ngủ tại tòa D'. Le Roi Soleil số 2 Đặng Thai Mai.,"18,2 tỷ",146 m²,"124,66 tr/m²",3,2,"Quảng An, Tây Hồ"
"Full bảng hàng CĐT & chuyển nhượng từ 3 - 4 PN, nhận nhà ngay tại D'. Le Roi Soleil, giá từ 12 tỷ","30,5 tỷ",234 m²,"130,34 tr/m²",4,4,"Quảng An, Tây Hồ"
Khai xuân cập nhật quỹ căn hộ bán tại chung cư D'. El Dorado - Lạc Long Quân giá rẻ nhất thị trường,"2,8 tỷ",40 m²,70 tr/m²,1,1,"Phú Thượng, Tây Hồ"
Bán nhanh CH 1+1 PN - 60m2 tòa M1 - chung cư 6th Element - Xuân La - Tây Hồ - HN - LH 0924 691 ***,6 tỷ,60 m²,100 tr/m²,1,1,"Xuân La, Tây Hồ"
"Cập nhật danh sách bán căn hộ Ciputra KĐT Nam Thăng Long mới nhất tháng 2/2025 - hàng đẹp, giá tốt","7,5 tỷ",119 m²,"63,02 tr/m²",3,2,"Phú Thượng, Tây Hồ"
"Chuẩn bị ra mắt shophouse, biệt thự Phú Thị Riverside tại Phú Thị, Gia Lâm dự kiến từ 11,5 tỷ/căn",N/A,N/A,N/A,N/A,N/A,N/A
"Hàng hiếm duy nhất 1 căn 50m2, TK 1 ngủ full nội thất view công viên, giá 4,1 tỷ","4,1 tỷ",50 m²,82 tr/m²,1,1,"Xuân La, Tây Hồ"
