Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42143864,18/02/2025,Nhận cọc thưởng phạt quỹ căn 33 Lê Văn Lương - Handico Complex | Giá tốt nhất thị trường,"5,9 tỷ",70 m²,"84,29 tr/m²",2,2,·,"21.003412971464822, 105.8015763230383"
42138924,14/02/2025,"Bán xuất mua ngoại giao căn hộ tại 33 Lê Văn Lương Handico Complex, 85 triệu/m, 2PN, 3PN,0817 936 ***","6,8 tỷ",80 m²,85 tr/m²,2,2,·,"21.0033833313517, 105.801993859643"
42246913,23/02/2025,Hoàng 3333 Giá Thật. Cập nhập Quỹ căn 63m2 - 89m2 - 98m2 - 105m2 - 115m2 tòa Royal. Uy Tín Tận Tâm,"9,5 tỷ","96,5 m²","98,45 tr/m²",2,2,"Thượng Đình, Thanh Xuân","21.002312933648565, 105.8152663834999"
41870458,21/02/2025,Tổng hợp quỹ căn hộ Royal City cập nhật giá mới nhất tháng 02/2025; LH: 0985 676 ***,"10,5 tỷ",131 m²,"80,15 tr/m²",3,2,"Thượng Đình, Thanh Xuân","21.0027632717471, 105.815446519402"
42127647,19/02/2025,Quỹ căn hộ trực tiếp CĐT và chính chủ giá sát tốt nhất dự án BRG Diamond Residence Lê Văn Lương,Giá thỏa thuận,161 m²,N/A,4,3,"Nhân Chính, Thanh Xuân","21.00507508766829, 105.80488660652036"
42141094,18/02/2025,"Cập nhật quỹ căn 2 - 3PN giá tốt nhất tại 33 Lê Văn Lương, xem nhà LH 0328 905 *** (Ms Trà Mi)",6 tỷ,70 m²,"85,71 tr/m²",2,2,"Nhân Chính, Thanh Xuân","21.002489031851, 105.802464307376"
42135837,18/02/2025,"Chính chủ bán căn Imperia Garden Nguyễn Huy Tưởng, tầng trung 2 pn, 70m2, ban công ĐN, nhỉnh 5tỷ","5,1 tỷ",70 m²,"72,86 tr/m²",2,2,"Thanh Xuân Trung, Thanh Xuân","20.9977882938091, 105.802868899317"
42032007,18/02/2025,"Tổng hợp quỹ căn hộ 1PN, 2PN, 3PN, 4PN, duplex, đập thông đang bán tại Royal City, LH: 0365 691 ***",Giá thỏa thuận,131 m²,N/A,N/A,N/A,"Thượng Đình, Thanh Xuân","21.002278429230017, 105.81525568516578"
36559567,18/02/2025,Cập quỹ căn hộ T2/2025 chủ nhà gửi bán 2PN + 3PN chung cư Hà Nội Center Point - 27 Lê Văn Lương,"5,9 tỷ",70 m²,"84,29 tr/m²",2,2,"Nhân Chính, Thanh Xuân","21.004818, 105.80467"
41606535,17/02/2025,Chính thức bàn giao sổ hồng cho cư dân em sẵn quỹ căn 3 - 4 phòng ngủ chủ nhà gửi bản sẵn sổ giá rẻ,12 tỷ,161 m²,"74,53 tr/m²",4,3,"Nhân Chính, Thanh Xuân","21.00501848083666, 105.80522322480563"
39026265,17/02/2025,"Quỹ căn ẩn. Ngoại giao Viha Complex 107 Nguyễn Tuân, giá tốt nhất thị trường, ở và đầu tư sinh lời","6,9 tỷ",72 m²,"95,83 tr/m²",2,2,"Thanh Xuân Trung, Thanh Xuân","20.9989291906631, 105.802327962952"
42173810,15/02/2025,Quỹ căn độc quyền cần ra hàng sớm,82 triệu,80 m²,"1,02 tr/m²",2,2,"Nhân Chính, Thanh Xuân","21.003205930248807, 105.80281647723933"
42167258,14/02/2025,Nhận cọc thưởng phạt quỹ căn 2PN - 3PN và suất ngoại giao ký HĐMB trực tiếp dự án Handico Complex,Giá thỏa thuận,70 m²,N/A,2,N/A,"Nhân Chính, Thanh Xuân","21.0038225432011, 105.802021059336"
42246939,23/02/2025,"Bán Căn Hộ Chung Cư 2PN 2WC tại Rivera Park Hà Nội. Giá 6 tỷ VND. Sẵn sổ, full đồ",6 tỷ,75 m²,80 tr/m²,2,2,"Thanh Xuân Trung, Thanh Xuân","20.999435411934144, 105.80902047680463"
