Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
41550357,28/02/2025,"Hot Quỹ căn nội bộ - tải bảng giá niêm yết chủ đầu tư, vay lãi suất 0%,ck 2,5% căn hộ TT Láng Hạ",Giá thỏa thuận,106 m²,N/A,3,2,·,"21.020743643055578, 105.8188696928301"
41694673,27/02/2025,"Hot hàng hiếm 10 suất ngoại giao bảng hàng cực hot, lãi suất 0% trong 6 tháng, căn hộ TT Láng Hạ",Giá thỏa thuận,83 m²,N/A,2,2,·,"21.020708, 105.81897"
42084659,03/03/2025,HOT! Quỹ căn ngoại giao đẹp nhất tầng 16 đến 27 (Penhouse) DA The Nelson giá tốt nhất thị trường,Giá thỏa thuận,"106,1 m²",N/A,3,N/A,"Thành Công, Ba Đình","21.020790495114, 105.819169031891"
41960567,03/03/2025,"Chính chủ bán căn hộ DTSD 110m2 tầng 3, 5.7tỷ SĐCC TT Ban TC Trung Ương ngõ 195 Đội Cấn, Ba Đình HN","5,7 tỷ",110 m²,"51,82 tr/m²",4,2,"Đội Cấn, Ba Đình","21.0349663185301, 105.825329822471"
42299647,28/02/2025,Chính chủ bán căn hộ tầng 5 khu tập thể ngân hàng Trung Ương - Ba Đình,"3,7 tỷ",33 m²,"112,12 tr/m²",N/A,N/A,"Trúc Bạch, Ba Đình","21.045211790372, 105.84270728448"
41121730,28/02/2025,Giá tốt (135tr/m2): Quỹ căn Vinhomes Metropolis ngày 28/2: SDT 0913 809 ***,"24,5 tỷ",146 m²,"167,81 tr/m²",4,3,"Ngọc Khánh, Ba Đình","21.0332005934552, 105.817575333658"
41924361,28/02/2025,"Quỹ căn nội bộ The Nelson tầng đẹp giá niêm yết, chiết khấu cao nhất cho quý khách trong tháng 3",Giá thỏa thuận,106 m²,N/A,3,N/A,"Thành Công, Ba Đình","21.019845115245868, 105.8191921901466"
42025902,26/02/2025,"Bán căn hộ 1PN + 1 nhà TT Đào Tấn, Linh Lang, Ba Đình. DT 50m2 full NT, sổ đỏ chính chủ. Giá 2,9 tỷ","2,9 tỷ",50 m²,58 tr/m²,1,1,"Cống Vị, Ba Đình","21.0327771945018, 105.808879840363"
42075911,06/03/2025,"Quỹ căn cần bán gấp Vinhomes Metropolis 1PN, 2PN, 3PN, 4PN, giá tốt, xem nhà 24/7, LH 0987 709 ***",23 tỷ,146 m²,"157,53 tr/m²",4,3,"Ngọc Khánh, Ba Đình","21.033822161915502, 105.81743346592488"
42352224,06/03/2025,"CHỦ NHÀ ĐI MỸ BÁN GẤP CĂN HỘ LÁNG HẠ VIEW 3 HỒ GIẢNG VÕ, THÀNH CÔNG, HOÀNG CẦU,DT:106M2 GIÁ 13 TỶ",13 tỷ,106 m²,"122,64 tr/m²",3,2,"Thành Công, Ba Đình","21.0209727702924, 105.818377337798"
42010652,06/03/2025,"Căn 2PN view hồ Hoàng Cầu rất hiếm TT quận Ba Đình 29 Láng Hạ, CK 2,5% trực tiếp CĐT bàn giao 2025",11 tỷ,87 m²,"126,44 tr/m²",2,2,"Thành Công, Ba Đình","21.0207612457492, 105.819213664196"
40396592,05/03/2025,Quỹ căn hộ cần chuyển nhượng giá tốt nhất - gọi xem nhà ngay hôm nay. Hotline 0989 138 ***,"20,5 tỷ",115 m²,"178,26 tr/m²",3,2,"Ngọc Khánh, Ba Đình","21.0325841306725, 105.816345465811"
42341061,05/03/2025,Chính chủ bán căn 3PN dự án Diamond Park Plaza Láng Hạ. Căn tầng 8 view trực diện hồ Thành Công,19 tỷ,"124,9 m²","152,12 tr/m²",3,2,"Thành Công, Ba Đình","21.019121152916778, 105.81585158668751"
40684077,05/03/2025,Metropolis căn 139 tr/m2 cần bán (05/03/2025) SDT 0913 809 ***,"17,6 tỷ",115 m²,"153,04 tr/m²",3,2,"Ngọc Khánh, Ba Đình","21.03393170376466, 105.81733516020357"
