Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
39668261,06/03/2025,Phan Hằng Group độc quyền danh sách căn hộ chuyển nhượng Goldmark City loại 2-3 & 4 PN giá cực tốt,"5,2 tỷ",93 m²,"55,91 tr/m²",2,2,·,"21.0442333221436, 105.767318725586"
42277511,02/03/2025,"Bán căn góc Sunshine City đẹp nhất dự án view sông Hồng & Sân golf Ciputra, sổ hồng giao dịch ngay","9,3 tỷ","104,5 m²",89 tr/m²,3,2,·,"21.08409525374058, 105.79156155241616"
40151117,01/03/2025,Quỹ căn hộ chuyển nhượng 1PN + 2PN + 3PN + duplex giá tốt nhất tháng 03/2025 Sunshine City Ciputra,7 tỷ,99 m²,"70,71 tr/m²",3,2,·,"21.084782101466125, 105.79155619505363"
42301266,01/03/2025,Quỹ căn mua bán chuyển nhượng tại Sunshine City Ciputra giá tốt nhất (T3/2025)-Mr. Hoàng 0812 395 ***,"5,8 tỷ",83 m²,"69,88 tr/m²",3,2,·,"21.0835000398378, 105.791444431507"
42300475,28/02/2025,Quỹ căn hộ giá rẻ độc quyền Sunshine City Ciputra - em Cường 0976 044 ***,"5,75 tỷ","80,5 m²","71,43 tr/m²",2,N/A,·,"21.084281637901434, 105.79186925971452"
42287329,27/02/2025,Kim Land Group cư dân Diamond GM độc quyền quỹ 2-3-4 ngủ. Cắt lỗ 300 - 500 triệu. Hỗ trợ vay 80%,6 tỷ,114 m²,"52,63 tr/m²",3,2,·,"21.0450596683942, 105.767237541326"
40907957,06/03/2025,E Chính cư dân GMC bán full quỹ căn chuyển nhượng 2 3 và 4PN tại đây Giá từ 48 tr/m2 hỗ trợ vay 80%,"6,3 tỷ",130 m²,"48,46 tr/m²",3,4,"Phú Diễn, Bắc Từ Liêm","21.04485535970542, 105.7677264064039"
42349176,06/03/2025,Gia đình chuyển công tác cần bán đi căn hộ 4pn 147m2 ban công đông nam tòa DIAMOND Goldmark City,"8,4 tỷ",147 m²,"57,14 tr/m²",4,2,"Phú Diễn, Bắc Từ Liêm","21.044362058505968, 105.76758768611091"
40404982,06/03/2025,"Bán gấp luôn chung cư Goldmark từ 83m2, 99m2, 115m2, 160m2 giá rẻ cần bán gấp LH 0839 185 ***","5,6 tỷ",115 m²,"48,7 tr/m²",3,2,"Phú Diễn, Bắc Từ Liêm","21.0442333221436, 105.767318725586"
41106931,06/03/2025,"Em Tiến chuyên hỗ trợ chuyển nhượng tại Goldmark City quỹ căn 2,3 và 4PN cập nhật liên tục","6,5 tỷ",104 m²,"62,5 tr/m²",3,2,"Phú Diễn, Bắc Từ Liêm","21.0442333221436, 105.767318725586"
42245542,06/03/2025,Em Oanh cư dân Goldmark tập hợp full quỹ căn 2 ngủ - 3 ngủ - 4 ngủ giá từ 50 tr/m2. LH 0937 941 ***,"5,6 tỷ",110 m²,"50,91 tr/m²",3,2,"Phú Diễn, Bắc Từ Liêm","21.04389865714601, 105.76724276653887"
39667628,05/03/2025,Phan Hằng Group tổng hợp danh sách 30 căn hộ An Bình City Loại 2 & 3 PN chuyển nhượng giá cực tốt,"5,7 tỷ",90 m²,"63,33 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.0495662689209, 105.778594970703"
39223048,05/03/2025,"Cần bán CH DT từ 74m2, 83m2, 92m2, 115m2 tại chung cư An Bình căn 2PN và 3PN giá rẻ, view hồ đẹp","5,6 tỷ",92 m²,"60,87 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.0497327000898, 105.77791042203"
38770890,05/03/2025,"Độc quyền quỹ căn hộ 2-3PN An Bình City cần bán gấp, cắt lỗ sâu, cập nhật hàng ngày LH: 0399 028 ***","5,9 tỷ",90 m²,"65,56 tr/m²",3,2,"Cổ Nhuế 1, Bắc Từ Liêm","21.049566, 105.778595"
40057625,04/03/2025,Chuyên bán căn hộ cao cấp tháp đôi Hanjadinn(NO1-T6 & T7) Ngoại Giao Đoàn - Giá tốt nhất thị trường,Giá thỏa thuận,"101,2 m²",N/A,3,N/A,"Xuân Tảo, Bắc Từ Liêm","21.0630493164063, 105.797309875488"
41979496,03/03/2025,"Tôi cần bán 2 căn hộ Goldmark City, căn góc 2PN 4 tỷ 800tr và căn góc 3PN 5 tỷ 700tr, có sổ Đỏ","4,8 tỷ",83 m²,"57,83 tr/m²",2,2,"Phú Diễn, Bắc Từ Liêm","21.04444250166772, 105.7666460245031"
41393239,03/03/2025,Cập nhật đầy đủ quỹ căn chuyển nhượng 2 - 3 - 4 PN tháng 3.2025 Ngoại Giao Đoàn giá tốt nhất,"7,5 tỷ",105 m²,"71,43 tr/m²",3,2,"Xuân Đỉnh, Bắc Từ Liêm","21.0656559500524, 105.798566366722"
