Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42283576,06/03/2025,[Chuyên bán tại D'capitale] Cập nhật mới T3/2025. Căn hộ Studio-1-2-3 Phòng ngủ. Hỗ trợ pháp lý,Giá thỏa thuận,86 m²,N/A,N/A,N/A,·,"21.0064008645362, 105.794273961066"
42317617,03/03/2025,"Bán chung cư Hanoi Signature 06 Nguyễn Văn Huyên CK15% HTLS 18 tháng, tặng slot oto.Trực tiếp CĐT",30 tỷ,180 m²,"166,67 tr/m²",3,3,·,"21.042753614279963, 105.79712391183529"
42353513,06/03/2025,"Chính chủ bán căn hộ 90m², Phòng 14.6 tòa nhà Vimeco 1, Trung Hòa, Cầu Giấy.","6,85 tỷ",90 m²,"76,11 tr/m²",N/A,N/A,"Trung Hòa, Cầu Giấy","21.0085517467382, 105.790761760399"
42349657,06/03/2025,"Bán căn hộ 3PN, 2WC tại Mipec Rubik 360, 10,1 tỷ, 110m2, giá tốt","10,1 tỷ",110 m²,"91,82 tr/m²",3,2,"Dịch Vọng Hậu, Cầu Giấy","21.036996784886853, 105.78628314261199"
38242665,06/03/2025,Em Huyền lễ tân được chủ nhà gửi bán quỹ căn hộ 2 - 3PN Mipec Rubik giá tốt nhất TT. LH: 0989 379 ***,"5,65 tỷ",55 m²,"102,73 tr/m²",2,1,"Dịch Vọng Hậu, Cầu Giấy","21.0371532440186, 105.786338806152"
42348512,06/03/2025,(Giá mềm) Soha Land cập nhật quỹ bán căn hộ chung cư 1PN 2PN 3PN Vinhomes D'Capitale Trần Duy Hưng,"6,4 tỷ",76 m²,"84,21 tr/m²",2,2,"Trung Hòa, Cầu Giấy","21.0058911755132, 105.794466965158"
37441858,06/03/2025,Tổng hợp quỹ căn 4N3VS 136m2 161m2 173m2 tại CCCC Thăng Long No1. LH 0976 647 ***,Giá thỏa thuận,173 m²,N/A,4,3,"Trung Hòa, Cầu Giấy","21.0026988983154, 105.792427062988"
42344028,05/03/2025,"Em TRƯỜNG cư dân cập nhật Quỹ 50 căn hộ 2PN, 3PN, 4PN, tại CC Thăng Long No1. Giá chỉ từ 50tr/m2","5,9 tỷ",120 m²,"49,17 tr/m²",3,2,"Trung Hòa, Cầu Giấy","21.0032523146975, 105.79185236114601"
42341230,05/03/2025,"Cập nhật quỹ căn KĐT Dịch Vọng Thành Thái: N04B, N06B, N07B, N09b đầy đủ và rẻ nhất thị trường","5,7 tỷ",88 m²,"64,77 tr/m²",2,2,"Dịch Vọng, Cầu Giấy","21.029220785452146, 105.79379590289774"
42340323,05/03/2025,Chính chủ bán CHCC 96m2 ở Trung Hòa Nhân Chính,"6,24 tỷ",96 m²,65 tr/m²,3,2,"Trung Hòa, Cầu Giấy","21.008360175706837, 105.80386962779411"
