Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42198239,05/03/2025,Quỹ căn chuyển nhượng từ 1-2-3-4 phòng | Sẵn sổ đỏ cập nhật liên tục tại Green Diamond 93 Láng Hạ,"9,4 tỷ",86 m²,"109,3 tr/m²",3,N/A,·,"21.0161961065944, 105.815622463366"
40394259,02/03/2025,Quỹ chuyển nhượng phong phú nhất thị trường từ 1PN - 2PN - 3PN - 4PN - Sổ đỏ trao tay. 0899 822 ***,Giá thỏa thuận,86 m²,N/A,2,2,·,"21.016826629638672, 105.81522369384766"
42247299,06/03/2025,"Hot tư vấn chuyên sâu The Ninety Complex 90 Đường Láng, nhiều lựa chọn Quỹ căn đẹp & độc quyền","4,3 tỷ",63 m²,"68,25 tr/m²",2,2,"Thịnh Quang, Đống Đa","21.0036082646885, 105.818512533411"
42303732,06/03/2025,Bán CH khách sạn The Ninety Complex 2N2VS - full nội thất liền tường - cho thuê từ 20tr/tháng,"4,8 tỷ",64 m²,75 tr/m²,2,2,"Thịnh Quang, Đống Đa","21.0047192665842, 105.818612172788"
42275683,04/03/2025,"(Giá gốc) Studio 2,65 tỷ/ căn 45m2 - 3,65 tỷ/ căn 64m2 - 4,35 tỷ chung cư 90 Láng, Đống Đa",Giá thỏa thuận,64 m²,N/A,N/A,N/A,"Thịnh Quang, Đống Đa","21.00381847014101, 105.81858844410539"
42323230,04/03/2025,"Chính chủ bán gấp căn hộ tập thể mặt đường Giảng Võ - vị trí đắc địa, sổ đỏ, ở ngay, giá tốt","5,97 tỷ",85 m²,"70,2 tr/m²",2,1,"Cát Linh, Đống Đa","21.0261880558783, 105.823087637877"
42273958,03/03/2025,"Chỉ từ 2.8 tỷ căn 2PN ngay 90 Láng, Đống Đa, nhận nhà T6/2025, tặng full nội thất. HTLS 21 tháng","4,5 tỷ",62 m²,"72,58 tr/m²",2,2,"Thịnh Quang, Đống Đa","21.00365866409947, 105.81793677569206"
42286561,28/02/2025,"Căn hộ studio dòng tiền cam kết 16tr/1th mặt đường Láng full nội thất, 4 hầm xe - HTLS 0% tới 2027","3,3 tỷ",37 m²,"89,19 tr/m²",1,1,"Thịnh Quang, Đống Đa","21.004409821810203, 105.81870588435248"
42332365,06/03/2025,Chuyển nhượng quỹ căn 2PN - 3PN tại chung cư Sky City Tower 88 Láng Hạ - Hàng Thật - Giá Thật,"12,32 tỷ",145 m²,85 tr/m²,3,2,"Láng Hạ, Đống Đa","21.01220546792327, 105.811628636183"
42323690,06/03/2025,"Siêu phẩm căn góc 3 phòng ngủ, diện tích 144m2, tầng 23, tháp B - Sky City 88 Láng Hạ",15 tỷ,144 m²,"104,17 tr/m²",3,2,"Láng Hạ, Đống Đa","21.01271166201234, 105.81103454666612"
42340655,05/03/2025,"Cắt lỗ, chung cư mini Tôn Đức Thắng - An Trạch 45 - 50m2, 2PN - Full nội thất, LH chính chủ","1,49 tỷ",50 m²,"29,8 tr/m²",2,1,"Hàng Bột, Đống Đa","21.0267676957684, 105.833839508506"
42340108,05/03/2025,"Quỹ căn cần bán gấp Vinhomes Nguyễn Chí Thanh 1PN, 2PN, 3PN, 4PN xem nhà 24/7, giá tốt thị trường",14 tỷ,137 m²,"102,19 tr/m²",3,2,"Láng Hạ, Đống Đa","21.0229530334473, 105.809814453125"
35881418,05/03/2025,"Bán chuyển nhượng căn hộ góc đẹp nhất dự án Hateco Laroma, liên hệ xem nhà: 0934 364 ***",Giá thỏa thuận,137 m²,N/A,3,2,"Láng Thượng, Đống Đa","21.02015658357982, 105.80700817068984"
42338729,05/03/2025,"Chính chủ - bán căn hộ Đống Đa, full nội thất",Giá thỏa thuận,40 m²,N/A,1,1,"Thịnh Quang, Đống Đa","21.0176539603774, 105.823602481728"
42334524,05/03/2025,"Đẹp mộc mạc, xinh xắn đến từng chi tiết! Căn hộ Phố Đoàn Thị Điểm. Sổ 43m2 Thực tế 66m2. 2PN 1WC","4,39 tỷ",66 m²,"66,52 tr/m²",2,1,"Văn Miếu - Quốc Tử Giám, Đống Đa","21.0260952563087, 105.832102587391"
41869554,05/03/2025,"Mở bán chung cư Ngã Tư Sở - Đống Đa 70tr/m2, chiết khấu 1.3 tỷ, full nội thất 5*, vay lãi suất 0%","4,55 tỷ",65 m²,70 tr/m²,2,2,"Thịnh Quang, Đống Đa","21.0040850468794, 105.818816948547"
41292093,05/03/2025,"Chính chủ bán căn hộ 50m2 Trung Tâm phố Trần Quý Cáp - Hồ Linh Quang 1,750 tỷ, ở ngay Cách hồ 50m","1,75 tỷ",48 m²,"36,46 tr/m²",2,1,"Hàng Bột, Đống Đa","21.0164153319904, 105.832225792481"
42327237,04/03/2025,"Chính chủ cần bán nhanh căn góc 104m2 - Hateco Laroma - Huỳnh Thúc Kháng, Đống Đa, Hà Nội",Giá thỏa thuận,104 m²,N/A,3,2,"Láng Thượng, Đống Đa","21.0202551738777, 105.80633460353"
40942680,04/03/2025,"Bán căn góc hiếm tại dự án Hateco diện tích 137,5m2 - thiết kế 3PN + 1 kho. Lh 0975 034 ***",Giá thỏa thuận,"137,5 m²",N/A,3,2,"Láng Thượng, Đống Đa","21.0204162597656, 105.807243347168"
41755131,04/03/2025,Chính chủ bán CH1103 Hacisco 107 Nguyễn Chí Thanh 105m2 có 3PN - 2WC nhà đã sửa chữa toàn bộ,Giá thỏa thuận,105 m²,N/A,3,2,"Láng Hạ, Đống Đa","21.0206790205261, 105.80829168295"
42323709,04/03/2025,"Hiếm! Bán căn hộ tháp A, chung cư 88 Láng Hạ, 139m2, 3 ngủ, nội thất cơ bản, giá 14.8 tỷ","14,8 tỷ",139 m²,"106,48 tr/m²",3,2,"Láng Hạ, Đống Đa","21.01210753744107, 105.81051388702268"
42321105,03/03/2025,"Căn hộ khách sạn 90 đường Láng The Ninety Complex, Thịnh Quang, Đống Đa, Hà Nội, chỉ với hơn 3,3tỷ","3,31 tỷ",38 m²,"87,08 tr/m²",2,2,"Thịnh Quang, Đống Đa","21.0038698527488, 105.819295769137"
41969102,01/03/2025,"Bán căn hộ phố An Trạch - Cát Linh 50m2 2 ngủ full nội thất, ở ngay","1,79 tỷ",50 m²,"35,8 tr/m²",2,1,"Văn Miếu - Quốc Tử Giám, Đống Đa","21.0280818974382, 105.831633374517"
42252044,01/03/2025,"(Giá shock) cầm 2,7 tỷ mua đứt căn Studio ngay ngã tư Sở, quận Đống Đa cho thuê 15tr/ tháng","2,7 tỷ",32 m²,"84,38 tr/m²",N/A,N/A,"Thịnh Quang, Đống Đa","21.004061411106736, 105.81869928017205"
41829902,28/02/2025,"Duy nhất căn 2PN 76m2 view toàn thành phố tặng full nội thất cao cấp giá chỉ 4,8 tỷ. LH 0983 975 ***","4,8 tỷ",76 m²,"63,16 tr/m²",2,2,"Thịnh Quang, Đống Đa","21.003791471954255, 105.81878415125176"
42299914,28/02/2025,"Sốc, quỹ căn hot giá 75tr/m2 toà The Ninety Complex Tháng 6 có nhà, lh 0978 079 ***","4,8 tỷ",64 m²,75 tr/m²,N/A,N/A,"Thịnh Quang, Đống Đa","21.0034564016989, 105.819141268477"
41968618,28/02/2025,Chính chủ uỷ quyền nhượng căn góc 3 ngủ view hồ tầng cao nguyên bản dự án Green Diamond 93 Láng Hạ,"16,5 tỷ","136,33 m²","121,03 tr/m²",3,N/A,"Láng Hạ, Đống Đa","21.0161961065944, 105.815622463366"
