Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42311818,06/03/2025,Quỹ căn độc quyền! Dự án The Charm An Hưng. Mở bán suất ngoại giao tầng đẹp lh 0983 180 *** giá tốt,"5,1 tỷ",74 m²,"68,92 tr/m²",2,2,·,"20.97528474632491, 105.76037509957708"
41860304,06/03/2025,Tải full Quỹ căn ra hàng ngày mai - Liên hệ ngay lấy căn HOT 54m2 & 71-75m2-77m2 - chiết khấu 150tr,Giá thỏa thuận,77 m²,N/A,2,2,·,"20.9745469549635, 105.761241685925"
42337413,06/03/2025,"TOP 11 CĂN HỘ CÓ GIÁ BÁN TỐT NHẤT CHUNG CƯ THE CHARM AN HƯNG, NHẬN BOOKING RA HÀNG ĐỢT 3",Giá thỏa thuận,54 m²,N/A,2,1,·,"20.974681148098902, 105.76075977051738"
42347513,06/03/2025,"Độc quyền 5 suất quỹ căn đẹp cam kết giá tốt nhất thị trường, đóng 15% kí HĐMB, LS 0% hỗ trợ 15T",Giá thỏa thuận,"72,6 m²",N/A,2,2,·,"20.974965183652394, 105.76008985709349"
42037149,05/03/2025,"10 Suất ngoại giao giá rẻ nhất tại dự án The Charm An Hưng, hỗ trợ ls 0% 15 tháng, lh 0983 119 ***","5,2 tỷ",77 m²,"67,53 tr/m²",2,2,·,"20.974747808295007, 105.76082040903465"
42301225,03/03/2025,"Căn hộ cao cấp Kepler Land-Mặt đường Tố Hữu, Hà Đông, 2pn DT 77m giá dự kiến 77tr/m2, CK tới 13.8%",Giá thỏa thuận,77 m²,N/A,2,N/A,·,"20.98534447926, 105.780819411868"
42316009,03/03/2025,"Ngoại giao căn 2 ngủ giá tốt nhất The Charm An Hưng, Miễn lãi tới khi nhận nhà","5,2 tỷ",72 m²,"72,22 tr/m²",2,2,·,"20.97494185464737, 105.76090536696871"
42092039,06/03/2025,QUỸ CĂN NGOẠI GIAO ĐẦU TIÊN ĐẸP NHẬT DỰ ÁN KEPLER LAND MỖ LAO HÀ ĐÔNG CK 16% CHO KHÁCH HÀNG ƯU TIÊN,4 tỷ,77 m²,"51,95 tr/m²",2,2,"Mỗ Lao, Hà Đông","20.9856739187377, 105.780342936538"
42353908,06/03/2025,"MỞ BÁN QUỸ CĂN HỘ VIP, GIÁ TỪ 4 TỶ TẠI THE CHARM AN HƯNG GIÁ 70tr/m2, HỖ TRỢ 70% HTLS 0% 15th SỔ ĐỎ","5,5 tỷ",76 m²,"72,37 tr/m²",2,2,"La Khê, Hà Đông","20.97462936285846, 105.76058860875447"
42106132,06/03/2025,"Căn ngoại giao trục 08 tòa B mở bán 10h sáng mai (2PN - 3PN) dự án The Charm An Hưng, ký HĐMB luôn","6,76 tỷ","91,4 m²",74 tr/m²,3,3,"La Khê, Hà Đông","20.9750614849206, 105.761011405452"
42353236,06/03/2025,"TRỤC CĂN ĐẸP NHẤT DỰ ÁN CHỈ CÒN 5 SUẤT NGOẠI GIAO, SỞ HỮU NGAY CĂN HỘ 96M2 GIÁ TỐT NHẤT THỊ TRƯỜNG","6,7 tỷ","95,7 m²","70,01 tr/m²",3,2,"La Khê, Hà Đông","20.9734683205803, 105.759186943232"
42301326,06/03/2025,"Mở bán toà tháp đôi Kepler Land-trung tâm Hà Đông, Quỹ căn F1 CĐT, đặt ngay nhận ck tới 12,8%",Giá thỏa thuận,73 m²,N/A,2,2,"Mỗ Lao, Hà Đông","20.985354061634023, 105.7796306993957"
42267607,05/03/2025,Ra hàng quỹ căn đẹp dự án chung cư The charm Tố Hữu - Hà Đông trợ vay bank 70%,Giá thỏa thuận,72 m²,N/A,2,2,"La Khê, Hà Đông","20.974552812456697, 105.76054477436087"
42338424,05/03/2025,"Bán quỹ ngoại giao The Charm - An Hưng tầng 6,12,26,27,30, giá tốt 0982 289 ***","5,2 tỷ",71 m²,"73,24 tr/m²",2,2,"La Khê, Hà Đông","20.97438462268904, 105.7605918209099"
42336058,05/03/2025,Bán suất ngoại giao căn 2pn dự án The Charm An Hưng giá chỉ từ 4 tỷ full nội thất nhập khẩu đức,4 tỷ,54 m²,"74,07 tr/m²",N/A,N/A,"La Khê, Hà Đông","20.974644226039622, 105.76057251398699"
14082007,04/03/2025,Xả hàng đầu năm quỹ căn giá tốt Mulberry Lane - LH: 0981 960 ***,Giá thỏa thuận,123 m²,N/A,3,2,"Mỗ Lao, Hà Đông","20.9868438538229, 105.786249884671"
41141828,03/03/2025,Cập nhật quỹ căn đang bán giá rẻ nhất tại chung cư Park Kiara KĐT ParkCity Hà Nội. LH 0968 450 ***,"8,6 tỷ",91 m²,"94,5 tr/m²",3,2,"La Khê, Hà Đông","20.9673748016357, 105.754013061523"
41797564,03/03/2025,Bán căn 3PN mẫu D 108m2 phòng khách rộng tại CC Park Kiara KĐT Park City Hà Nội giá tốt 0968 450 ***,"11,3 tỷ",108 m²,"104,63 tr/m²",3,2,"La Khê, Hà Đông","20.9673748016357, 105.754013061523"
42320270,03/03/2025,Quỹ căn đối ngoại đầu tiên đẹp nhất dự án Kepler Land Mỗ Lao Hà Đông CK 10% cho khách hàng ưu tiên,"2,92 tỷ",45 m²,65 tr/m²,2,1,"Mỗ Lao, Hà Đông","20.985518421254067, 105.78010686213831"
42267738,03/03/2025,Ra hàng dự án chung cư Kepler Land Mỗ Lao diện tích từ 53m2 - 72m2 -101m2 hỗ trợ vay Bank 70%,Giá thỏa thuận,72 m²,N/A,2,2,"Mỗ Lao, Hà Đông","20.985945385379512, 105.78014735383282"
42118287,03/03/2025,Độc quyền quỹ căn cần bán giá tốt nhất tại chung cư Park Kiara với giá tốt nhất,"7,7 tỷ",82 m²,"93,9 tr/m²",2,2,"La Khê, Hà Đông","20.9676955331635, 105.75328558892"
42312791,02/03/2025,"Bảng hàng trực tiếp cđt, quỹ ngoại giao căn 2 - 3pn The Charm An Hưng CK %, htls 0% 15th",Giá thỏa thuận,54 m²,N/A,2,1,"La Khê, Hà Đông","20.975555364290784, 105.76046575639012"
42312655,02/03/2025,3/3 mở bán 52 căn The Charm An Hưng quỹ căn ngoại giao siêu VIP LH Lấy căn gía tốt nhất thị trường,Giá thỏa thuận,54 m²,N/A,2,N/A,"La Khê, Hà Đông","20.9748641446811, 105.761398948885"
42310949,02/03/2025,Bán chung cư Seasons Avenue - Mỗ Lao,"8,8 tỷ",124 m²,"70,97 tr/m²",3,2,"Mỗ Lao, Hà Đông","20.986801060655896, 105.78700770077624"
42296248,28/02/2025,Chỉ hơn 70tr/m2 quỹ căn đẹp giá rẻ nhất thị trường dự án căn hộ cao cấp tháp đôi Kepler Land Mỗ Lao,Giá thỏa thuận,68 m²,N/A,2,2,"Mỗ Lao, Hà Đông","20.9857179657048, 105.780484785229"
42290349,28/02/2025,"Tổng hợp căn bán 2pn, 3pn. Dự án chung cư HH2 Xuân Mai Complex Dương Nội","3,15 tỷ",62 m²,"50,81 tr/m²",2,2,"Yên Nghĩa, Hà Đông","20.959646991226403, 105.74197522831939"
42180846,27/02/2025,Sắp ra mắt Tháp đôi Kepler Land biểu tượng KĐT Mỗ Lao giá tốt nhất Hà Đông dự kiến từ 8X triệu/m2,Giá thỏa thuận,45 m²,N/A,1,1,"Mỗ Lao, Hà Đông","20.9859794518939, 105.779990817788"
42175321,26/02/2025,Nhận booking sớm căn 2PN dự án The Charm An Hưng (số lượng giới hạn) LH 0918 518 ***,Giá thỏa thuận,74 m²,N/A,2,2,"La Khê, Hà Đông","20.9742969710975, 105.760952514185"
42354050,06/03/2025,"CHÍNH CHỦ BÁN CĂN HỘ CC SAMSORA PREMIER 105 CHU VĂN AN, YẾT KIÊU,HÀ ĐÔNG","5,7 tỷ",92 m²,"61,96 tr/m²",3,2,"Vạn Phúc, Hà Đông","20.9746645620928, 105.777581669396"
37898909,06/03/2025,"Tổng hợp CHUNG CƯ HÀ ĐÔNG KĐT Xa La tháng 3/2025 - xem nhà 24/7 - GIÁ CHỈ TỪ 2.6 tỷ, 2PN - nhà đẹp","2,6 tỷ",54 m²,"48,15 tr/m²",2,2,"Phúc La, Hà Đông","20.9624671936035, 105.792366027832"
42353415,06/03/2025,"Bán căn Góc 2PN 75.5m2- BC Đông Nam - cửa Tây Bắc, đồ cơ bản, Sổ đỏ 4 tỷ (có thuong lượng)",4 tỷ,72 m²,"55,56 tr/m²",2,2,"La Khê, Hà Đông","20.97579706159083, 105.76113525869962"
42352872,06/03/2025,HÀNG HIẾM CHUNG CƯ MINI ngay BẾN XE YÊN NGHĨA 50/56m 7 tầng 15 phòng ĐỪNG BỎ LỠ CƠ HỘI ĐẦU TƯ,"14,8 tỷ",50 m²,296 tr/m²,15,15,"Yên Nghĩa, Hà Đông","20.9486670941507, 105.746684721121"
41762066,06/03/2025,"Chính chủ cần bán gấp căn hộ CT7F dt 54m Dương Nội, 2PN, full nội thất lung linh, vào ở luôn",Giá thỏa thuận,55 m²,N/A,2,1,"Dương Nội, Hà Đông","20.9798679351807, 105.743919372559"
42103340,06/03/2025,Cập nhật quỹ căn hộ 2 - 3 - 4 ngủ chuyển nhượng giá tốt nhất tại HPC Landmark - giá chuẩn ko chênh,"6,8 tỷ",135 m²,"50,37 tr/m²",3,3,"La Khê, Hà Đông","20.9735511836755, 105.758627940608"
42350690,06/03/2025,"(Giá thật) Tôi chính chủ bán căn 134m toà S4, tầng trung, 3N2W, full nội thất, giá 10,5 tỷ","10,5 tỷ",134 m²,"78,36 tr/m²",3,2,"Mỗ Lao, Hà Đông","20.987028075744668, 105.78683616896905"
