Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42346564,06/03/2025,Bán gấp căn hộ chính chủ Timescity - Park Hill giá rẻ nhất thị trường T3/2025. LH 0968 203 ***,"6,25 tỷ",83 m²,"75,3 tr/m²",2,2,·,"20.994906738455594, 105.86777447532134"
42272801,28/02/2025,"Danh sách căn hộ bán rẻ nhất Times City Tháng 03/2025, có sổ hồng, mua bán chính chủ LH 0968 602 ***","7,4 tỷ",95 m²,"77,9 tr/m²",3,2,·,"20.99442320394055, 105.86811411170704"
41938029,26/02/2025,Chính chủ bán 6 căn hộ chung cư Sunshine Garden từ 1N - 4N giá tốt - Liên hệ em Tuấn Anh 0889 108 ***,"6,4 tỷ",129 m²,"49,61 tr/m²",4,3,·,"20.9962026413398, 105.873104915798"
39025009,24/02/2025,Mua bán chung cư cao cấp giá rẻ Hà Nội Sunshine Garden cạnh Times City - Hai Bà Trưng - 0812 395 ***,"6,5 tỷ",108 m²,"60,18 tr/m²",3,2,·,"20.997291327264122, 105.87419767607673"
42350187,06/03/2025,BÁN GẤP CĂN HỘ CHÍNH CHỦ TIMESCITY - PARK HILL GIÁ RẺ NHẤT THỊ TRƯỜNG T3/2025. LH 0968 108 ***,"7,3 tỷ",95 m²,"76,84 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.994921014163957, 105.86817444630809"
24284258,04/03/2025,"Bán chuyển nhượng 100 căn dự án Imperia Sky Garden, xem nhà trực tiếp LH TPKD: Hoài Thu 0913 484 ***",Giá thỏa thuận,"74,83 m²",N/A,2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9984378814697, 105.866737365723"
35517026,04/03/2025,Quỹ căn chuyển nhượng cắt lỗ rẻ nhất Sunshine Garden - Em Cường 0976 044 ***,"3,8 tỷ",45 m²,"84,44 tr/m²",1,1,"Vĩnh Tuy, Hai Bà Trưng","20.9974530247871, 105.873439465426"
41301608,04/03/2025,"Bán căn penthouse & Duplex toà nhà Sunshine Garden sát Time City. Diện tích 340m2, full nội thất",Giá thỏa thuận,340 m²,N/A,N/A,N/A,"Vĩnh Tuy, Hai Bà Trưng","20.996799653567248, 105.87371404911623"
41748710,03/03/2025,Chuyên chuyển nhượng căn hộ Sunshine Garden quỹ căn đa dạng giá tốt nhất - Em Long 0355 863 ***,"3,75 tỷ",45 m²,"83,33 tr/m²",3,N/A,"Vĩnh Tuy, Hai Bà Trưng","20.9968786702843, 105.873411730127"
42182037,02/03/2025,"Quỹ căn hộ 1PN - 4Pn giá chỉ từ 3,6tỷ - 6,5tỷ rẻ nhất Sunshine Garden - em Hoàng 0879 169 ***","6,4 tỷ",108 m²,"59,26 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.9973532372553, 105.873857746507"
42213980,01/03/2025,"Chính chủ bán căn hộ CC 70 Võ Thị Sáu - quận Hai Bà Trưng diện tích 66,83m/76m2 - giá chỉ 3.9 tỷ","3,9 tỷ","66,83 m²","58,36 tr/m²",2,1,"Bách Khoa, Hai Bà Trưng","21.0056631315477, 105.854986940543"
42208366,28/02/2025,Cập nhật 24/7 quỹ căn chuyển nhượng Times City - Park Hill giá siêu tốt,"7,4 tỷ",80 m²,"92,5 tr/m²",2,N/A,"Vĩnh Tuy, Hai Bà Trưng","20.994826379477, 105.867912715716"
42208234,28/02/2025,Quỹ căn hộ bán Times City tháng 2 giá cắt lỗ 300 - 500 tr/căn. Liên hệ - 0702 272 ***,"5,8 tỷ",83 m²,"69,88 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9946892094957, 105.867767467792"
42276002,26/02/2025,"Quỹ Căn Bán Sunshine garden 1PN - 2PN -3PN - 4PN . giá từ 3,9 tỷ . Hỗ trợ A-Z . LH: 0982 623 ***","3,9 tỷ","46,7 m²","83,51 tr/m²",1,1,"Vĩnh Tuy, Hai Bà Trưng","20.99670366124542, 105.87429930008044"
35604056,05/03/2025,Ban quản lý dự án bán căn hộ Times City và Park Hill giá rẻ 300 - 800tr cập nhật mới nhất 2025,7 tỷ,95 m²,"73,68 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9947910308838, 105.86784362793"
41782713,05/03/2025,Chị em cần bán 2 ngủ sáng diện tích 83m2 - full nội thất. Nhà hướng Nam liên hệ em - 0908 833 ***,"6,35 tỷ",83 m²,"76,51 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.993993768090814, 105.86678705809129"
41563246,05/03/2025,"Bán gấp căn hộ tòa T01 căn hộ 2PN 95m2 Times City 7,4 tỷ. Liên hệ xem nhà 0943 358 ***","7,4 tỷ",95 m²,"77,9 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.994404504134938, 105.86829461856846"
42336300,05/03/2025,"Quỹ căn bán 2 - 3 ngủ tại chung cư UDIC - 122 Vĩnh Tuy mới nhất, cập nhật tháng 3/2025","6,15 tỷ",95 m²,"64,74 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.999303359272567, 105.87585585079822"
35663984,04/03/2025,Quỹ căn hộ 2PN 3PN rao bán T2.2024 giá rẻ nhất Imperia đủ loại diện tích. LH số 0947 418 ***,"5,8 tỷ","74,83 m²","77,51 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9979349264688, 105.866389746877"
42331300,04/03/2025,"Bán căn hộ chung cư Times City, Minh Khai, 8,9 tỷ, 95 m2, 3PN, 1WC, đầy đủ nội thất, hot!","8,9 tỷ",95 m²,"93,68 tr/m²",3,1,"Vĩnh Tuy, Hai Bà Trưng","20.994163093710405, 105.8676703902289"
42323708,04/03/2025,"Chuyển nhà bán gấp trong tuần căn 3PN tầng trung Vinhomes Times City có gia lộc, chủ nhà thân thiện","8,1 tỷ",95 m²,"85,26 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.99518531840254, 105.86785181691512"
41990615,03/03/2025,Quỹ căn hộ 2PN 3PN rao bán T3.2025 giá rẻ nhất Imperia đủ loại diện tích. LH 0948 247 ***,"7,7 tỷ",87 m²,"88,51 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.9986417221083, 105.867082654532"
42230290,03/03/2025,"Chính chủ bán căn hộ tập thể phố Võ Thị Sáu, quận Hai Bà Trưng, DT 70m2, giá 3,85 tỷ","3,85 tỷ",70 m²,55 tr/m²,2,1,"Thanh Nhàn, Hai Bà Trưng","21.0059470517083, 105.855091237975"
33560194,03/03/2025,"Ban quản lí gửi em bán gấp căn hộ 2PN, 3PN dự án Imperia Sky Garden. LH xem nhà TPKD 0387 032 ***",Giá thỏa thuận,"74,83 m²",N/A,2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9984378814697, 105.866737365723"
42317724,03/03/2025,Căn góc tầng 6 119 m2 ban công hướng Đông nam cực mát,Giá thỏa thuận,119 m²,N/A,3,2,"Phạm Đình Hổ, Hai Bà Trưng","21.0152930289655, 105.857084241708"
42295669,03/03/2025,"Chung cư cao cấp Sunshine 107m2 3pn nội thất cao cấp, full tiện ích, hiếm 7.66tỷ","7,66 tỷ",107 m²,"71,59 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.996527623658938, 105.87414651413022"
42311843,02/03/2025,"Chính chủ bán tập thể mặt phố Minh Khai, Hai Bà Trưng, Tầng 1, sổ to 90m2 3PN 2WC giá 4,25 tỷ","4,25 tỷ",90 m²,"47,22 tr/m²",3,2,"Minh Khai, Hai Bà Trưng","20.995100746957, 105.857057539851"
40606356,28/02/2025,"Tổng hợp một số căn hộ giá tốt tại Times City, Park Hill năm 2025","6,8 tỷ",80 m²,85 tr/m²,2,N/A,"Vĩnh Tuy, Hai Bà Trưng","20.9943332672119, 105.867561340332"
42299019,28/02/2025,"Bán chung cư Vinhomes Timecity thiết kế đẳng cấp, nội thất đẹp lung linh khách chỉ việc về ở ngay","4,85 tỷ",52 m²,"93,27 tr/m²",1,1,"Vĩnh Tuy, Hai Bà Trưng","20.99445784462073, 105.86784680548867"
42134164,28/02/2025,Cần bán căn hộ 2 ngủ diện tích 76m2 thông thủy tại Imperia Sky Garden 423 Minh Khai,"5,3 tỷ",76 m²,"69,74 tr/m²",2,2,"Vĩnh Tuy, Hai Bà Trưng","20.9978310540695, 105.866490554547"
42296060,28/02/2025,Tôi chính chủ cần bán gấp do nhu cầu đi nước ngoài căn góc 3PN tại Park Hill - Times City,"10,5 tỷ",104 m²,"100,96 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.994275740440685, 105.86785126300983"
42141336,28/02/2025,"Bán tòa chung cư mini 75m2, giá ưu đãi hơn 11 tỷ tại Tạ Quang Bửu, Hai Bà Trưng, Hà Nội",11 tỷ,75 m²,"146,67 tr/m²",8,8,"Bách Khoa, Hai Bà Trưng","21.0061588535958, 105.847013980072"
41629408,26/02/2025,Siêu thị căn hộ cắt lỗ Sunshine Garden. Căn giá tốt dành cho khách ở thực. Cao Tuấn Anh 0889 108 ***,"6,5 tỷ",118 m²,"55,08 tr/m²",3,2,"Vĩnh Tuy, Hai Bà Trưng","20.9966850280762, 105.873847961426"
