Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42279916,06/03/2025,Tập thể Hoàn Kiếm mặt phố vỉa hè - ô tô tránh - kinh doanh - cơ hội đầu tư - dòng tiền - Bà Triệu,"16,2 tỷ",87 m²,"186,21 tr/m²",2,2,"Hàng Bài, Hoàn Kiếm","21.0216358549044, 105.8523179887"
42037283,06/03/2025,"Bán căn hộ đẹp T - Place, Lý Thường Kiệt, Hoàn Kiếm, Hà Nội, 520m2, giá thỏa thuận",Giá thỏa thuận,520 m²,N/A,4,N/A,"Hàng Bài, Hoàn Kiếm","21.0223601411242, 105.853126532904"
41715730,06/03/2025,"Bán CC T-Place, Lý Thường Kiệt, 13 tỷ, 60m2, 2PN, 1WC, giá siêu hời",13 tỷ,60 m²,"216,67 tr/m²",2,1,"Hàng Bài, Hoàn Kiếm","21.022367477417, 105.853118896484"
42348476,06/03/2025,"Bán căn hộ chung cư đẹp tại T-Place, Lý Thường Kiệt, Hoàn Kiếm, Hà Nội, 67m2-2PN, giá thỏa thuận !",Giá thỏa thuận,67 m²,N/A,2,2,"Hàng Bài, Hoàn Kiếm","21.022348562413203, 105.85378008205251"
42347174,06/03/2025,"Bán căn hộ chung cư T-Place, Lý Thường Kiệt, Diện tích 58m2, giá thỏa thuận, bàn giao thô dễ xem !",Giá thỏa thuận,58 m²,N/A,1,1,"Hàng Bài, Hoàn Kiếm","21.022426814913615, 105.85356182230196"
42344170,06/03/2025,Nhỉnh 2 tỷ nhà tập thể phố Hồng Hà. 22/50m2. Sổ riêng cất két. Ô tô đỗ chân cầu thang,"2,55 tỷ",22 m²,"115,91 tr/m²",1,1,"Chương Dương, Hoàn Kiếm","21.026310044689, 105.859726637272"
42239652,05/03/2025,Siêu hiếm - Phố Cổ Hà Nội - Hộ khẩu Hoàn Kiếm - Chính chủ nhượng lại căn hộ đẹp full đồ - ở luôn,"5,4 tỷ","49,6 m²","108,87 tr/m²",2,2,"Cửa Đông, Hoàn Kiếm","21.0317961271014, 105.846009750962"39864534,02/03/2025,Căn hộ hàng hiệu The Grand Hanoi - hàng hiếm trong bộ sưu tập bất động sản tại Hà Nội,80 tỷ,140 m²,"571,43 tr/m²",3,2,"Hàng Bài, Hoàn Kiếm","21.023656845092773, 105.85282135009766"
42306985,01/03/2025,"Căn tập thể ở rốn cụ Rùa, 28m được chủ nhà thuê ktsư thiết kế riêng nội thất bằng gỗ thịt cực xịn","4,75 tỷ",28 m²,"169,64 tr/m²",N/A,N/A,"Tràng Tiền, Hoàn Kiếm","21.0249415184297, 105.855062942047"
41471259,01/03/2025,"Căn hộ tập thể Hoàn Kiếm, hộ khẩu Phan Chu Trinh, Trần Hưng Đạo, siêu hiếm trung tâm phố","3,75 tỷ",55 m²,"68,18 tr/m²",2,1,"Phan Chu Trinh, Hoàn Kiếm","21.0193899199079, 105.857278825521"
42040783,01/03/2025,"(Chính chủ) Bán căn hộ 75m2 2 ngủ 2 vệ sinh, mặt phố Trần Hưng Đạo, giá 6 tỷ",6 tỷ,75 m²,80 tr/m²,2,2,"Trần Hưng Đạo, Hoàn Kiếm","21.0223475864015, 105.846580725413"
42290006,28/02/2025,"Bán nhà tập thể tầng 3 có áp mái tại phường Hàng Buồm, Hoàn Kiếm, Hà Nội, giá 7 tỷ, diện tích 70m2",7 tỷ,70 m²,100 tr/m²,1,1,"Hàng Buồm, Hoàn Kiếm","21.0352856398087, 105.852831870733"
42268694,26/02/2025,"Hiếm! Bán Tập Thể tầng 2 mặt phố Quang Trung - Lý Thường Kiệt, Hoàn Kiếm, nhà rất đẹp, 2 ngủ","2,99 tỷ",55 m²,"54,36 tr/m²",2,1,"Trần Hưng Đạo, Hoàn Kiếm","21.0249265133399, 105.843466533434"
41807469,26/02/2025,"Bán nhà TT Quận Uỷ 23 Bà Triệu, tầng cao, view sáng 30m2 x 2N, nội thất xịn, toàn gỗ thịt, 4.75 tỷ","4,75 tỷ",30 m²,"158,33 tr/m²",2,N/A,"Hàng Bài, Hoàn Kiếm","21.0219581161315, 105.850877956258"
42260402,25/02/2025,"Nhà đẹp phố Hàng Than - vài bước Hồ Gươm - lô góc - 2 thoáng - 3PN - tiện ích bạt ngàn giá 4,95 tỷ","4,95 tỷ",70 m²,"70,71 tr/m²",2,N/A,"Đồng Xuân, Hoàn Kiếm","21.0406512628019, 105.847249760278"
42259057,25/02/2025,"Chính chủ! Bán căn hộ TT Ngô Quyền homestay Hoàn Kiếm, Phố Cổ, Dòng tiền 40tr/ tháng, full đồ 55m","4,5 tỷ",55 m²,"81,82 tr/m²",1,1,"Lý Thái Tổ, Hoàn Kiếm","21.0312466743059, 105.854290247344"
42316713,06/03/2025,"Căn hộ tập thể 2 tầng mới, chưa sử dụng, full nội thất và thiết bị xịn sò, bếp và wc riêng biệt","3,05 tỷ",15 m²,"203,33 tr/m²",2,1,"Cửa Đông, Hoàn Kiếm","21.0320799512374, 105.846605893864"
41471259,08/03/2025,"Căn hộ tập thể Hoàn Kiếm, hộ khẩu Phan Chu Trinh, Trần Hưng Đạo, siêu hiếm trung tâm phố","3,75 tỷ",55 m²,"68,18 tr/m²",2,1,"Phan Chu Trinh, Hoàn Kiếm","21.0193899199079, 105.857278825521"
42357995,07/03/2025,Tập thể 75m2 2PN 2 ban công. Môi trường phố cổ Hai Bà Trưng. Chủ tặng hết đồ đạc. Giá chỉ 4.5 tỷ,"4,5 tỷ",75 m²,60 tr/m²,2,N/A,"Phan Chu Trinh, Hoàn Kiếm","21.0224905418477, 105.856919162943"
42249294,07/03/2025,"Bán nhà tập thể Ngô Quyền 23 m2 x 3 tầng, có ban công, sổ đỏ chính chủ, giá 5.5 tỷ. Lh 0986 226 ***","5,5 tỷ",23 m²,"239,13 tr/m²",2,2,"Phan Chu Trinh, Hoàn Kiếm","21.0223414124931, 105.854598793983"
41130412,07/03/2025,"Hoa hậu phố cổ! Homestay Hàng Vôi, Hoàn Kiếm, dòng tiền 40tr/tháng, 75m2 2PN nhà đẹp chỉ 6,68 tỷ","6,68 tỷ",75 m²,"89,07 tr/m²",2,1,"Lý Thái Tổ, Hoàn Kiếm","21.0301005576745, 105.856567281989"
