Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
41729220,05/03/2025,"Trực tiếp chủ đầu tư: Căn 2 - 3N giá rẻ nhất Melody Linh Đàm, view hồ, chiết khấu 8%, tặng vàng 999","3,2 tỷ",68 m²,"47,06 tr/m²",2,2,·,"20.9585018157959, 105.826347351074"
42337096,05/03/2025,"Tôi cán bộ PKD chủ đầu tư, bán suất mua nhân viên chiết khấu đặc biệt, căn đẹp ký trực tiếp HĐMB","3,2 tỷ",68 m²,"47,06 tr/m²",2,2,·,"20.95851242875902, 105.82587889259105"
42327816,04/03/2025,"Hot! Quỹ ngoại giao độc quyền căn 2-3PN view hồ - giá tốt nhất dự án, ký HĐMB trực tiếp Chủ đầu tư","3,35 tỷ",68 m²,"49,26 tr/m²",2,2,·,"20.9584566527592, 105.826391680388"
42355146,06/03/2025,Sunshine Palace 1PN 65m2 từ 2 tỷ 3PN 134m2 từ 4.9 tỷ ký HĐ trực tiếp CĐT rẻ hơn quỹ chuyển nhượng,2 tỷ,65 m²,"30,77 tr/m²",1,2,"Mai Động, Hoàng Mai","20.990436360524054, 105.86868826884664"
41461905,06/03/2025,Quỹ 2-3 ngủ ký trực tiếp CĐT Melody! Cam Kết giá tốt nhất dự án+View Hồ Đẹp+Full chiết khấu 53tr/m2,"3,2 tỷ",68 m²,"47,06 tr/m²",2,2,"Hoàng Liệt, Hoàng Mai","20.958601508316413, 105.826414441403"
42297202,06/03/2025,"Bán căn hộ 2PN + 2WC tại Hà Nội Melody Residences, 3,848 tỷ, 74m2 kí trực tiếp CĐT","3,85 tỷ",74 m²,52 tr/m²,2,2,"Hoàng Liệt, Hoàng Mai","20.9584691353487, 105.82594214370134"
42321799,05/03/2025,"Không báo ảo! Quỹ căn 2 + 3 phòng ngủ giá rẻ nhất, ký trực tiếp CĐT, cam kết chiết khấu tốt nhất","4,2 tỷ",68 m²,"61,76 tr/m²",2,2,"Hoàng Liệt, Hoàng Mai","20.9586221109885, 105.824159213467"
39724950,04/03/2025,"Bảng giá Feliz Homes chuyển nhượng, giá tốt tháng 3/2025 căn 2PN chỉ từ 4 tỷ, căn 3PN chỉ từ 5 tỷ","4,6 tỷ",83 m²,"55,42 tr/m²",2,2,"Hoàng Văn Thụ, Hoàng Mai","20.9848365783691, 105.859855651855"
41729744,28/02/2025,"Quỹ căn tháng 3 Green Park. Căn 2 ngủ (53m2-83m2) giá từ 2.65 tỷ, căn 3 ngủ (85m2-99 giá từ 4.25 tỷ",Giá thỏa thuận,85 m²,N/A,N/A,N/A,"Hoàng Liệt, Hoàng Mai","20.958769, 105.84631"
42351606,06/03/2025,Chính chủ cần bán chung cư 11 tầng nhà G Đền Lừ 1,"3,8 tỷ",59 m²,"64,41 tr/m²",3,N/A,"Hoàng Văn Thụ, Hoàng Mai","20.9848203822906, 105.857922897107"
41730917,06/03/2025,"Bán CHCC DT=77m2,2n2wc,Tòa D Vinaconex 2, Số 1 Nghiêm Xuân Yêm (đường VĐ3), Q.Hoàng Mai, HN","4,65 tỷ",77 m²,"60,39 tr/m²",2,2,"Đại Kim, Hoàng Mai","20.973291397094727, 105.82000732421875"
42237054,06/03/2025,"Chung cư Đền Lừ, sử dụng 100m 2 ngủ 2wc, sổ đỏ","3,8 tỷ",56 m²,"67,86 tr/m²",2,2,"Hoàng Văn Thụ, Hoàng Mai","20.984837098053315, 105.85985272424826"
42348862,06/03/2025,"Bán căn hộ 3PN, 2WC, 78m2 tại Nguyễn Hữu Thọ, Hoàng Liệt, Hoàng Mai, Hà Nội, 4,7 tỷ","4,7 tỷ",78 m²,"60,26 tr/m²",3,2,"Hoàng Liệt, Hoàng Mai","20.970807120271232, 105.82874926847859"
39599481,06/03/2025,Quỹ căn chuyển nhượng 2PN giá rẻ nhất Sunshine Palace siêu thị bất động sản - LH Hoàng 0812 395 ***,"5,8 tỷ",86 m²,"67,44 tr/m²",2,2,"Mai Động, Hoàng Mai","20.98984037753989, 105.86866004331479"
42347520,06/03/2025,"Bán căn hộ 3PN, 2WC tại Rainbow Linh Đàm, 6 tỷ VND, 90,5 m2",6 tỷ,"90,5 m²","66,3 tr/m²",3,2,"Hoàng Liệt, Hoàng Mai","20.96413739101401, 105.82435762509539"
42073765,05/03/2025,"Bán căn hộ mới 71.3m2 2PN2WC chung cư Rose Town, cạnh Bến xe Nước Ngầm, Sổ Lâu dài, giá 4.42 tỷ","4,42 tỷ","71,3 m²","61,99 tr/m²",2,2,"Hoàng Liệt, Hoàng Mai","20.956096829792, 105.844271278011"
42343203,05/03/2025,"Chính chủ bán căn hộ 46m2 chung cư HH4C Linh Đàm. Giá: 1,8x tỷ. LH: 0918 526 ***",Giá thỏa thuận,46 m²,N/A,2,1,"Hoàng Liệt, Hoàng Mai","20.963646220733704, 105.82629148527379"
40651758,05/03/2025,Chung cư chính chủ 45m2 HH1a Linh Đàm,"1,75 tỷ",45 m²,"38,89 tr/m²",1,1,"Hoàng Liệt, Hoàng Mai","20.9647350311279, 105.826362609863"
