Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42338132,05/03/2025,"Iconic LB đã có sổ 2PN 74m2 80m2 từ 5.850 & 80m2 từ 6. X tỷ, duplex 169m2 từ 13.5tỷ nhận nhà ở ngay","13,5 tỷ",169 m²,"79,88 tr/m²",3,4,·,"21.0406817765538, 105.89605482277388"
42262144,27/02/2025,"Cư dân Sunshine Green Iconic bán CH (1ngủ: 4tỷ, 2 ngủ: 6tỷ, 3ngủ: 8 tỷ, duplex: 13tỷ) 0981 757 ***","5,5 tỷ",74 m²,"74,32 tr/m²",2,2,·,"21.040900588957857, 105.8968350782629"
42274606,04/03/2025,"Bán căn hộ chung cư học viện Hậu Cần, Ngọc Thụy, Long Biên, Hà Nội","3,25 tỷ",72 m²,"45,14 tr/m²",2,2,"Ngọc Thụy, Long Biên","21.0500192907022, 105.866762134029"
42329918,04/03/2025,"Chính chủ cần bán căn hộ 73m2 toà C tầng 6 CC Eco City Việt Hưng, full nội thất cách Hồ Gươm 6,5km",4 tỷ,73 m²,"54,8 tr/m²",2,2,"Giang Biên, Long Biên","21.0578153177369, 105.913609985707"
42250332,03/03/2025,Cực rẻ - căn sân vườn 120m2(3PN + 3vs) - đẹp nhất Khai Sơn City - giá chỉ 54.9 triệu/m2,"6,59 tỷ",120 m²,"54,9 tr/m²",3,3,"Ngọc Thụy, Long Biên","21.05230381582268, 105.88457737563667"
42318571,03/03/2025,"Quỹ căn hộ, duplex, sky villa giá rẻ độc quyền sunshine green iconic long biên - E Cường 0976 044 ***","5,5 tỷ",74 m²,"74,32 tr/m²",2,N/A,"Phúc Đồng, Long Biên","21.0405763048813, 105.896531293145"
42164654,02/03/2025,Quỹ căn chuyển nhượng cắt lỗ giá rẻ nhất thị trường tại Sunshine Green Iconic - Em Long 0355 863 ***,"5,4 tỷ",80 m²,"67,5 tr/m²",2,N/A,"Phúc Đồng, Long Biên","21.0403630930654, 105.895956964573"
42308391,02/03/2025,Cần tiền bán gấp trong tuần căn 2PN 74m2 tòa GH3 KĐT Việt Hưng - Long Biên ĐN tầng trung thoáng đẹp,"3,35 tỷ",74 m²,"45,27 tr/m²",2,2,"Đức Giang, Long Biên","21.070209256839224, 105.90681211932284"
42121125,01/03/2025,"Bán căn hộ Valencia Garden, 4,03 tỷ, 80m2, 3PN, 2WC giá cực chất tại Đức Giang, Long Biên, Hà Nội","4,03 tỷ",80 m²,"50,38 tr/m²",3,2,"Đức Giang, Long Biên","21.0552396678737, 105.911193535567"
42170779,01/03/2025,Quỹ căn giá tốt nhất Khai Sơn City - chiết khấu 10.5% - lãi suất 0% trong 18 tháng - quà tặng 80tr,"6,5 tỷ",120 m²,"54,17 tr/m²",3,3,"Ngọc Thụy, Long Biên","21.052315282879, 105.88523049881"
42123493,25/02/2025,Bán căn hộ Dulex 170m2 Sunshine Green Iconic,"12,8 tỷ",170 m²,"75,29 tr/m²",3,4,"Phúc Đồng, Long Biên","21.0407019400688, 105.896838176626"
41905713,21/02/2025,Mua bán chuyển nhượng Sunshine Green Iconic - Mr. Anh Linh 0825 326 ***,"5,56 tỷ",80 m²,"69,5 tr/m²",2,2,"Phúc Đồng, Long Biên","21.040641091280563, 105.89690305561972"
42355886,06/03/2025,QUỸ CĂN BÁN GIÁ TỐT THÁNG 3/ 2025 TẠI LE GRAND JARDIN LONG BIÊN. LH: 0948 247 ***,"4,8 tỷ",85 m²,"56,47 tr/m²",3,2,"Sài Đồng, Long Biên","21.035370521103705, 105.90643955702481"
42349476,06/03/2025,"HÓt hót! Căn góc hoa hậu 65m2 2PN tòa B Valencia tầng trung, view thoáng giá bán nhanh chỉ 3.05 tỷ","3,05 tỷ",65 m²,"46,92 tr/m²",2,N/A,"Đức Giang, Long Biên","21.05610633426813, 105.91184382010809"
42348950,06/03/2025,"Bán căn góc 78m2 - 2PN - 2WC khu đô thị Việt Hưng, BC Đông Nam, view vườn hoa, SĐCC giá 2.8 tỷ","2,8 tỷ",78 m²,"35,9 tr/m²",2,1,"Đức Giang, Long Biên","21.062355689571334, 105.90840690171534"
40193314,05/03/2025,"Bán gấp 5 căn 2PN Vinhomes Symphony, sổ đỏ, view đẹp, giá tốt - cơ hội đầu tư sinh lời cao","5,2 tỷ","66,6 m²","78,08 tr/m²",2,2,"Việt Hưng, Long Biên","21.0461521148682, 105.915649414063"
42345487,05/03/2025,"Căn hộ 113m2 Berriver 3pn 2vs 1kho bán full đồ gỗ, đã có sổ","8,1 tỷ",113 m²,"71,68 tr/m²",3,2,"Bồ Đề, Long Biên","21.0439585972312, 105.877403060799"
41979909,05/03/2025,"Chủ nhà thiện chí cần bán căn 3PN góc, trục đẹp nhất Khai Sơn City: 97m, hg ĐN, view hồ, 6.7x","6,75 tỷ",97 m²,"69,59 tr/m²",3,2,"Ngọc Thụy, Long Biên","21.0523929199502, 105.884099872993"
39959331,05/03/2025,Duplex 169m2 3n4wc nhận nhà ở ngay đủ khoảng tầng giá từ 13.5-16tỷ full nội thất cao cấp + tiện ích,"13,5 tỷ",169 m²,"79,88 tr/m²",3,4,"Phúc Đồng, Long Biên","21.0407333374023, 105.896560668945"
