Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42342146,05/03/2025,Đơn vị quản lý căn hộ Soho & Heritage West lake thông báo! Bán và bàn giao căn hộ tinh hoa Tây Hồ,"12,9 tỷ",94 m²,"137,23 tr/m²",3,3,·,"21.072877475386797, 105.81238049532904"
41478184,04/03/2025,Cập nhật quỹ căn chuyển nhượng Golden River - Ciputra giá tốt nhất tháng 02/2025,12 tỷ,141 m²,"85,11 tr/m²",3,2,·,"21.08423910980729, 105.81097029779126"
40768951,04/03/2025,"Bán căn hộ sân vườn Golden River Tây Hồ - Rẻ hơn giá gốc CĐT 123m2 đến 494m2 view sông Hồng, hồ Tây","11,32 tỷ","141,5 m²",80 tr/m²,3,2,·,"21.0786514282227, 105.802612304688"
41093048,22/02/2025,"PKD CĐT thông báo! Quỹ căn 2PN, 3PN, 4PN, Duplex - Heritage West Lake view Hồ Tây giá tốt. T02/2025",Giá thỏa thuận,145 m²,N/A,3,3,·,"21.0727491381058, 105.811500199392"
42343516,05/03/2025,"Duy nhất 1 căn có giá 4,3 tỷ - 60m2 - Tòa Soho & Heritage West Lake - 677 Lạc Long Quân","4,3 tỷ",60 m²,"71,67 tr/m²",1,1,"Phú Thượng, Tây Hồ","21.07255665632279, 105.81227652441106"
42166248,05/03/2025,"Quỹ căn chuyển nhượng tháng 2 chung cư D'. El Dorado Tây Hồ giá rẻ nhất dự án 2,8 tỷ LH: 0963 866 ***","2,8 tỷ",34 m²,"82,35 tr/m²",2,1,"Xuân La, Tây Hồ","21.073497686948, 105.799784951808"
39589826,05/03/2025,"Chính chủ bán căn 3 ngủ, 146m2, view đẹp nhất dự án D'Le Roi Soleil số 2 Đặng Thai Mai, Tây Hồ, HN","19,5 tỷ",146 m²,"133,56 tr/m²",3,2,"Quảng An, Tây Hồ","21.065832, 105.82651"
39502137,05/03/2025,"Hàng hiếm Del dorado II, một căn 2 phòng ngủ 55m2 full đồ, view thành phố giá 4,7 tỷ","4,7 tỷ",55 m²,"85,46 tr/m²",2,1,"Phú Thượng, Tây Hồ","21.0739040374756, 105.799980163574"
42287781,04/03/2025,"Cần bán căn 88m2, 2N, 2WC. Tầng cao, view thẳng Hồ Tây. Giá 12.5 tỷ, D.Le Roi Soleil 59 Xuân Diệu","12,5 tỷ",88 m²,"142,04 tr/m²",2,2,"Quảng An, Tây Hồ","21.065838155867663, 105.82632690539737"
42217812,03/03/2025,"Tổng hợp căn hộ bán tại tòa D'. Le Roi Soleil 59 Xuân Diệu, Tây Hồ giá tốt nhất - LH: 0989 734 ***","15,1 tỷ",136 m²,"111,03 tr/m²",3,2,"Quảng An, Tây Hồ","21.065995605688, 105.826767447829"
