Id,Date Posted,Product Title,Price,Area,Price per m²,Bedrooms,Toilets,Location,Coordinates
42337182,05/03/2025,Tôi cần chuyển nhượng căn 3PN giá giá tốt nhất thị trường view công viên,"6,72 tỷ",80 m²,84 tr/m²,3,2,·,"21.00338331005746, 105.80239851856278"
42143864,04/03/2025,Chính thức: Mở bán quỹ căn 33 Lê Văn Lương - Handico Complex| Tầng đẹp - Giá tốt nhất,6 tỷ,70 m²,"85,71 tr/m²",2,2,·,"21.0034129714648, 105.801576323038"
42272069,26/02/2025,HANDICO 33 LÊ VĂN LƯƠNG  QUỸ CĂN ĐỘC QUYỀN 36 CĂN  CƠ HỘI ĐẦU TƯ VÀ AN CƯ HOÀN HẢO,"6,02 tỷ",70 m²,86 tr/m²,2,2,·,"21.003248045257493, 105.80197163710375"
42353994,06/03/2025,Bán CCMN Kim Giang - Thang Xuân. Xây Mới 6T Thang Máy - Ngõ Ô Tô - 2 MT-3 Bước Ra Phố-Full Nội Thất,"15,5 tỷ",50 m²,310 tr/m²,9,10,"Phương Liệt, Thanh Xuân","20.9834224264887, 105.815116746636"
42353469,06/03/2025,Quỹ căn cần bán gấp 03/2025 tại Royal City. Cam kết có slot oto. Full tiện ích 5sao. LH 0375 122 ***,"10,2 tỷ",130 m²,"78,46 tr/m²",3,2,"Thượng Đình, Thanh Xuân","21.00264838570286, 105.81559045343649"
42343462,06/03/2025,"Quỹ căn ngoại giao (118m2, duplex 145m2) giá tốt nhất siêu hời, quỹ ẩn trực tiếp CĐT, LH 0966 088 ***","9,68 tỷ",118 m²,82 tr/m²,4,4,"Thanh Xuân Trung, Thanh Xuân","20.999149478828, 105.802589487131"
42346535,06/03/2025,"Bán căn góc siêu hiếm chỉ 8xtr/m2 tại Viha Nguyễn Tuân, chiết khấu ngay 6%, HTLS 0% đến 31/12/2025",Giá thỏa thuận,118 m²,N/A,4,3,"Thanh Xuân Trung, Thanh Xuân","20.99681527818862, 105.80357393352186"
41969696,05/03/2025,"Căn hộ Handico Complex và giá bán DT 70m2, 74m2, 83m2. Chính sách mới áp dụng ngay","6,97 tỷ",83 m²,84 tr/m²,2,3,"Nhân Chính, Thanh Xuân","21.0032857836416, 105.80297882625"
42138924,05/03/2025,"Bán xuất mua ngoại giao căn hộ tại 33 Lê Văn Lương Handico Complex, 85 triệu/m, 2PN, 3PN,0817 936 ***","6,8 tỷ",80 m²,85 tr/m²,2,2,"Nhân Chính, Thanh Xuân","21.0033833313517, 105.801993859643"
39414883,04/03/2025,"Tổng hợp quỹ căn hộ 2PN + 3PN diện tích 72m2, 93m2, 104m2 CC Rivera Park - Em Quyết BĐS giá thật","6,1 tỷ",72 m²,"84,72 tr/m²",2,2,"Thanh Xuân Trung, Thanh Xuân","20.9991188049316, 105.808441162109"
41606535,03/03/2025,Chính thức bàn giao sổ hồng cho cư dân em sẵn quỹ căn 3 - 4 phòng ngủ chủ nhà gửi bản sẵn sổ giá rẻ,14 tỷ,161 m²,"86,96 tr/m²",4,3,"Nhân Chính, Thanh Xuân","21.0050184808367, 105.805223224806"
42127647,03/03/2025,Quỹ căn hộ trực tiếp CĐT và chính chủ giá sát tốt nhất dự án BRG Diamond Residence Lê Văn Lương,Giá thỏa thuận,161 m²,N/A,4,3,"Nhân Chính, Thanh Xuân","21.00507508766829, 105.80488660652036"
42032007,28/02/2025,"Tổng hợp quỹ căn hộ 1PN, 2PN, 3PN, 4PN, duplex, đập thông đang bán tại Royal City, LH: 0365 691 ***",Giá thỏa thuận,131 m²,N/A,N/A,N/A,"Thượng Đình, Thanh Xuân","21.002278429230017, 105.81525568516578"
42141094,28/02/2025,"Cập nhật quỹ căn 2 - 3PN giá tốt nhất tại 33 Lê Văn Lương, xem nhà LH 0328 905 *** (Ms Trà Mi)",6 tỷ,70 m²,"85,71 tr/m²",2,2,"Nhân Chính, Thanh Xuân","21.002489031851, 105.802464307376"
41933841,25/02/2025,"(Hiếm) nhượng lại suất ngoại giao tại Handico Complex, 74,5m2, 2PN, 2VS ký HĐ trực tiếp HĐ 4,8 tỷ","4,8 tỷ","74,5 m²","64,43 tr/m²",2,2,"Nhân Chính, Thanh Xuân","21.0033561555523, 105.802377751391"
41132630,06/03/2025,"6/03 Imperia Garden 2 PN 66m2 - 5,5 tỷ, 75m2 - 5,8 tỷ - 3PN, 97m2 giá 7,5 tỷ, 120m2 9.5 tỷ","7,5 tỷ",97 m²,"77,32 tr/m²",3,2,"Thanh Xuân Trung, Thanh Xuân","20.9972763061523, 105.80298614502"
41132590,06/03/2025,"6/03 The Golden Palm 21 Lê Văn Lương 66m2 5.5 tỷ - 105m2 7,5 tỷ - 117m2 8,5tỷ - 130m2 9 tỷ","7,5 tỷ",105 m²,"71,43 tr/m²",3,2,"Nhân Chính, Thanh Xuân","21.006311, 105.80748"
39314876,06/03/2025,"Quỹ căn giá tốt 05/03 The Legend 64m2 5,5 tỷ - 73m2 6,4 tỷ - 85m2 giá 6,4 106m2 giá 8,5 tỷ","8,5 tỷ",106 m²,"80,19 tr/m²",3,2,"Thanh Xuân Trung, Thanh Xuân","21.0046138763428, 105.804077148438"
42337361,06/03/2025,Quỹ căn giá ngoại giao tốt nhất tại Viha Complex 107 Nguyễn Tuân Thanh Xuân,Giá thỏa thuận,118 m²,N/A,3,2,"Thanh Xuân Trung, Thanh Xuân","20.9972094457251, 105.80391334402"
42269343,06/03/2025,"Cập nhật quỹ 10 căn 3PN, 4 PN đẹp tháng 3/2025 tại Diamond Resident Lê Văn Lương",14 tỷ,144 m²,"97,22 tr/m²",3,3,"Nhân Chính, Thanh Xuân","21.0057294226402, 105.805287519104"
42269356,06/03/2025,"Quỹ căn hộ 25 Lê Văn Lương Diamond Resident T2/2025:  62, 105,107, 120, 144, 146, 151, 161, 202m2","19,2 tỷ",202 m²,"95,05 tr/m²",4,4,"Nhân Chính, Thanh Xuân","21.005405723748, 105.805049647259"
42349160,06/03/2025,Bán căn góc Vip 3pn trung tâm Thanh Xuân 118m2 tts 10.5 tỷ nội thất cơ bản gần CV bể bơi 0966 849 ***,"10,5 tỷ",118 m²,"88,98 tr/m²",3,N/A,"Thanh Xuân Trung, Thanh Xuân","20.99754033805944, 105.80292897651705"
31032113,06/03/2025,"Bán căn hộ 2PN, 3PN trung tâm quận Thanh Xuân sổ đỏ trao tay. LH xem nhà: 0899 822 ***",Giá thỏa thuận,127 m²,N/A,2,2,"Thanh Xuân Trung, Thanh Xuân","20.9974040985107, 105.804061889648"
42347032,06/03/2025,"Tổng Hợp Căn Cần BÁN tại Hapulico Complex 2PN-3PN,DT 88m2-102m2-108m2-118m2-140m2 MỚI NHẤT-GIÁ TỐT",7 tỷ,102 m²,"68,63 tr/m²",3,2,"Thanh Xuân Trung, Thanh Xuân","21.0007905829405, 105.807296522647"
41710435,06/03/2025,"Bán căn hộ Nguyễn Trãi, gần TTTM Royal, 1PN, 2PN (34m2, 50m2), full đồ","1,28 tỷ",34 m²,"37,65 tr/m²",1,N/A,"Khương Đình, Thanh Xuân","20.9878014817163, 105.800908229536"
42087124,05/03/2025,"PKD CĐT bán căn hộ The Diamond Residence, giá thỏa thuận, 144m2, view đẹp, chính chủ",14 tỷ,144 m²,"97,22 tr/m²",3,3,"Nhân Chính, Thanh Xuân","21.005367947368274, 105.80534474240412"
42341623,05/03/2025,Chuyên căn hộ 25 Lê Văn Lương 62-105-107-120-144-146-151-161-202m2. Liên hệ Ms. Thảo: 0962 317 ***,15 tỷ,144 m²,"104,17 tr/m²",4,3,"Nhân Chính, Thanh Xuân","21.0052261352539, 105.805061340332"
42341119,05/03/2025,Chuyên căn hộ Viha 107 Nguyễn Tuân liên hệ Ms. Thảo: 0962 317 ***,10 tỷ,118 m²,"84,75 tr/m²",4,3,"Thanh Xuân Trung, Thanh Xuân","20.997587, 105.80383"
