Id,Date Posted,Product Title,Price,Area,Price per m²,calc price,Bedrooms,Toilets,Location,Coordinates
42211822,19/02/2025,"Bán nhà tập thể Giải Phóng, Hai Bà Trưng, sổ hơn 40m, SD 110m2, 3 ngủ, nhà đẹp, ở ngay, ô tô đỗ cửa",3.65,110.0,33.18,0.0,3.0,2.0,"Bách Khoa, Hai Bà Trưng","21.0037155105872, 105.841410822568"
37893530,21/02/2025,"Bán cắt lỗ - chung cư E1 Đại Cồ Việt - Đại học Bách Khoa - Bạch Mai - Hai Bà Trưng, full nội thất",0.972,58.0,16.76,-0.002,2.0,2.0,"Bách Khoa, Hai Bà Trưng","21.0081158, 105.8460805"
42232438,21/02/2025,"Bán căn hộ tập thể tầng 5 đã thông tầng 6 thanh nhàn, Hà Nội",3.5,100.0,35.0,0.0,4.0,3.0,"Bách Khoa, Hai Bà Trưng","21.0324711431819, 105.846972143071"
42011610,17/02/2025,"Bán tập thể Q100, Trần Đại Nghĩa, TT Hai Bà Trưng, tầng 2 x 2PN, căn góc 3 thoáng, chỉ 4,15 tỷ",4.15,79.0,52.53,0.0,2.0,1.0,"Bách Khoa, Hai Bà Trưng","21.0056090847596, 105.845461749236"
42178823,17/02/2025,"Chính chủ bán nhà tập thể Giải Phóng, Bách Khoa, sổ 55m2, SD 90m2, 3 ngủ, 2wc, nhà đẹp, ở ngay",3.6,90.0,40.0,0.0,3.0,2.0,"Bách Khoa, Hai Bà Trưng","21.0038440046303, 105.841051974364"
41627924,23/02/2025,"Không có căn thứ 2 - căn hộ TT 80m2 full nội thất - 3 ngủ mới 100%, đẹp hơn CC - giá chỉ nhỉnh 4 tỷ",4.2,80.0,52.5,0.0,3.0,2.0,"Bách Khoa, Hai Bà Trưng","21.0054496563194, 105.84602951535"
42213980,21/02/2025,Chính chủ bán căn hộ CC 70 Võ Thị Sáu - quận Hai Bà Trưng diện tích 67m/76m2 - giá chỉ 3.9 tỷ,3.9,76.0,51.32,0.0,2.0,1.0,"Bách Khoa, Hai Bà Trưng","21.0056631315477, 105.854986940543"
42203790,19/02/2025,"Bán CC 3PN, 2WC, 113m2 tại Bách Khoa, Hai Bà Trưng, Hà Nội, giá cực chất 5,5 tỷ",5.5,113.0,48.67,0.0,3.0,2.0,"Bách Khoa, Hai Bà Trưng","21.0044154177933, 105.846852699058"
42185513,17/02/2025,"Cực hiếm - bán TT Trần Đại Nghĩa - tầng 3 - 50/115m x 3PN/2WC ôtô dừng đỗ - ở cực sướng - giá 5,5tỷ",5.5,115.0,47.83,0.0,3.0,2.0,"Bách Khoa, Hai Bà Trưng","21.0055559545702, 105.845851734386"
42192442,17/02/2025,"Hoa hậu! Tập thể Bách Khoa, Hai Bà Trưng, tầng 3, lô góc, sổ to 70m2 2PN full NT chỉ 3,99 tỷ",3.99,70.0,57.0,0.0,2.0,2.0,"Bách Khoa, Hai Bà Trưng","21.0064972996948, 105.846686151416"
37799090,23/02/2025,Bán gấp - bán chung cư E1 Bạch Mai - Minh Khai - Hai Bà Trưng - sổ hồng vĩnh viễn - full nội thất,0.85,58.0,14.66,0.0,2.0,2.0,"Bạch Mai, Hai Bà Trưng","20.998032, 105.8503425"
42120658,21/02/2025,"Bán nhà TT Bạch Mai, 55m2, 2 phòng ngủ riêng biệt, full nội thất đẹp ở ngay, giá nhỉnh 2 tỷ",2.45,55.0,44.54,0.0,2.0,1.0,"Bạch Mai, Hai Bà Trưng","20.9977234024648, 105.850297957357"
42191739,18/02/2025,"Căn hộ T4 - D1 tập thể 8 - 3 Hai Bà Tưng, Hà Nội",2.15,35.0,61.43,0.0,2.0,1.0,"Bạch Mai, Hai Bà Trưng","20.9961856438272, 105.861973090865"
42135951,22/02/2025,Hiếm! Chỉ 2.55 tỷ - Căn hộ tập thể Phố Bạch Mai 2PN 2WC khép kín - DT 60m2 - Thoáng sáng,2.55,60.0,42.5,0.0,2.0,2.0,"Bạch Mai, Hai Bà Trưng","20.9980851093521, 105.850508865355"
42124672,12/02/2025,"Bán gấp căn hộ 40m2 x 2 tầng trung tâm Bạch Mai, Hai Bà Trưng, Hà Nội",3.0,40.0,75.0,0.0,2.0,2.0,"Bạch Mai, Hai Bà Trưng","20.9999577227047, 105.853197407544"
42031446,16/02/2025,"Chính chủ bán, căn hộ TT tầng 2, phố Bùi Ngọc Dương, sử dụng 68m2. Ô tô đỗ chân cầu thang. 2,95tỷ",2.95,68.0,43.38,0.0,3.0,1.0,"Bạch Mai, Hai Bà Trưng","21.0002967510606, 105.852904434392"
42181689,16/02/2025,Bán gấp căn hộ tập thể Phố Thanh Nhàn. 2.39 tỷ. 2PN 1WC khép kín - 52m2 - Full nội thất,2.39,52.0,45.96,0.0,2.0,1.0,"Bạch Mai, Hai Bà Trưng","21.0030410958766, 105.853729565902"
41857671,21/02/2025,Chính chủ bán cắt lỗ căn penthouse duplex 210m2 view sông Hồng tại Sun Grand Số 3 Lương Yên,24.0,210.0,114.29,0.0,4.0,3.0,"Bạch Đằng, Hai Bà Trưng","21.0113537448319, 105.862151709361"
30409921,17/02/2025,"Chính chủ cần bán căn hộ 2 phòng ngủ giá chỉ từ 7 tỷ tại Sun Ancora Residence, số 3 Lương Yên",7.8,98.0,79.59,0.0,2.0,2.0,"Bạch Đằng, Hai Bà Trưng","21.0116748809814, 105.862678527832"
42221224,20/02/2025,"Bán CC tại Sun Grand City Ancora Residence, 12,5 tỷ, 113m2, giá siêu hời, chính chủ",12.5,113.0,110.62,0.0,3.0,2.0,"Bạch Đằng, Hai Bà Trưng","21.012307746533413, 105.86214014700148"
42213318,19/02/2025,Bán nhà - tập thể - Đầm Trấu - HBT lô góc - 2 ngủ có thể cơi nới thành 3 PN,5.0,80.0,62.5,0.0,2.0,1.0,"Bạch Đằng, Hai Bà Trưng","21.0115028822563, 105.864754134998"
42242616,22/02/2025,"Cần bán tập thể Tầng 2, Bộ Nông Nghiệp - 53 Nguyễn Khoái (Hai Bà Trưng)",2.98,50.0,59.6,0.0,2.0,1.0,"Bạch Đằng, Hai Bà Trưng","21.0124576537533, 105.863522621479"
41869742,23/02/2025,"Căn hộ suất ngoại giao, view trọn Hồ Tây CC Oriental Westlake, LH 0934 439 ***",7.85,111.0,70.72,0.0,3.0,2.0,"Bưởi, Tây Hồ","21.05166377878753, 105.80910356167198"
41970637,17/02/2025,Chính chủ - bán căn CCMN 35m2 1N1K Xuân La - Tây Hồ chỉ nhỉnh 1 tỷ. Full nội thất xinh. Ô tô tránh,1.0,35.0,28.57,0.0,1.0,1.0,"Bưởi, Tây Hồ","21.0530245984054, 105.812985149362"
41815588,19/02/2025,"Dòng tiền 300tr/năm, 2PN2WC, 63m2, mới tinh, view thành phố, đống đa, HTLS 50%, giá chỉ 5,3 tỷ",5.3,63.0,84.13,0.0,2.0,2.0,"Bưởi, Tây Hồ","21.0516747599794, 105.809436038874"
42166549,14/02/2025,GÀ ĐẺ TRỨNG VÀNG-DÒNG TIỀN 100 TR/THÁNG - CÁCH MẶT PHỐ 60m -ÔTÔ 25m - THÔNG SỐ LÝ TƯỞNG - SỔ NỞ HẬU,20.0,85.0,235.29,0.0,25.0,25.0,"Bưởi, Tây Hồ","21.0554674204718, 105.808776573859"
39153162,16/02/2025,Mở bán chung cư Trích Sài - Tây Hồ - Hà Nội 1.35 tỷ - 1 tỷ 980 triệu,1.4,35.0,40.0,0.0,2.0,1.0,"Bưởi, Tây Hồ","21.0494678, 105.8132657"
