District,Area (km2),Population (people),Population density (people/km2),Number of wards and communes
Ba Đình,9.21,226315,24573,14 wards
Bắc Từ Liêm,45.24,354364,7833,13 wards
Cầu Giấy,12.44,294235,23652,8 wards
Đống Đa,9.95,376709,37860,21 wards
Hà Đông,49.64,382637,7708,17 wards
Hai Bà Trưng,10.26,304101,29639,18 wards
Hoàn Kiếm,5.35,141687,26484,18 wards
Hoàng Mai,40.19,540732,13454,14 wards
Long Biên,60.09,337982,5625,14 wards
Nam Từ Liêm,32.17,282444,8780,10 wards
Tây Hồ,24.38,167851,6885,8 wards
Thanh Xuân,9.17,293292,31984,11 wards
