Items,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
January,%,4.00 ,3.00 ,11.00 ,9.00 ,11.00 ,11.00 ,12.00 ,11.00 ,24.00 ,32.00 ,136.00 ,174.00 ,1 ,125.00 ,69.00 ,(2.00),0 ,46.00 ,51.00 ,1.00 ,123.00 ,6.00 ,19.00 ,52.00 ,31.00 
February,%,16.00 ,4.00 ,22.00 ,22.00 ,3 ,25.00 ,21.00 ,22.00 ,36.00 ,117.00 ,196.00 ,209.00 ,137.00 ,132.00 ,55.00 ,(5.00),42.00 ,23.00 ,73.00 ,8.00 ,(17.00),152.00 ,1 ,45.00 ,104.00 
March,%,(11.00),(7.00),(8.00),(6.00),8.00 ,1.00 ,(5.00),(2.00),3 ,(17.00),75.00 ,217.00 ,16.00 ,(19.00),(41.00),15.00 ,57.00 ,21.00 ,(27.00),(21.00),(72.00),(27.00),7.00 ,(23.00),(23.00)
April,%,(7.00),(5.00),0 ,0 ,5.00 ,6.00 ,2.00 ,5.00 ,22.00 ,35.00 ,14.00 ,332.00 ,5.00 ,2.00 ,8.00 ,14.00 ,33.00 ,0 ,8.00 ,31.00 ,(154.00),(4.00),18.00 ,(34.00),7.00 
May,%,(6.00),(2.00),3.00 ,(1.00),9.00 ,5.00 ,6.00 ,8.00 ,39.00 ,44.00 ,27.00 ,221.00 ,18.00 ,(6.00),2.00 ,16.00 ,54.00 ,(53.00),55.00 ,49.00 ,(3.00),16.00 ,38.00 ,1.00 ,5.00 
June,%,(5.00),0 ,1.00 ,(3.00),8.00 ,4.00 ,4.00 ,9.00 ,21.00 ,55.00 ,22.00 ,109.00 ,(26.00),5.00 ,138.00 ,35.00 ,46.00 ,(17.00),61.00 ,(9.00),66.00 ,19.00 ,69.00 ,27.00 ,17.00 
July,%,(6.00),(2.00),(1.00),(3.00),5.00 ,4.00 ,4.00 ,9.00 ,11.00 ,52.00 ,6.00 ,117.00 ,(29.00),27.00 ,23.00 ,13.00 ,13.00 ,11.00 ,(9.00),18.00 ,4.00 ,62.00 ,4.00 ,45.00 ,48.00 
August,%,1.00 ,0 ,1.00 ,(1.00),6.00 ,4.00 ,4.00 ,6.00 ,16.00 ,24.00 ,23.00 ,93.00 ,63.00 ,83.00 ,22.00 ,(7.00),1.00 ,92.00 ,45.00 ,28.00 ,7.00 ,25.00 ,0 ,88.00 ,0 
September,%,(2.00),5.00 ,2.00 ,1.00 ,3.00 ,8.00 ,3.00 ,5.00 ,2.00 ,62.00 ,131.00 ,82.00 ,22.00 ,106.00 ,4.00 ,(21.00),54.00 ,59.00 ,59.00 ,32.00 ,12.00 ,(62.00),4.00 ,108.00 ,29.00 
October,%,1.00 ,0 ,3.00 ,(2.00),0 ,4.00 ,2.00 ,7.00 ,(2.00),37.00 ,105.00 ,36.00 ,85.00 ,49.00 ,11.00 ,11.00 ,83.00 ,41.00 ,33.00 ,59.00 ,9.00 ,(2.00),15.00 ,8.00 ,33.00 
November,%,9.00 ,2.00 ,3.00 ,6.00 ,2.00 ,4.00 ,6.00 ,12.00 ,(8.00),55.00 ,186.00 ,39.00 ,47.00 ,34.00 ,(27.00),7.00 ,48.00 ,13.00 ,(29.00),96.00 ,(1.00),32.00 ,39.00 ,25.00 ,13.00 
December,%,1.00 ,1 ,3.00 ,8.00 ,6.00 ,8.00 ,5.00 ,29.00 ,(7.00),138.00 ,198.00 ,53.00 ,27.00 ,51.00 ,(24.00),2.00 ,23.00 ,21.00 ,(25.00),14.00 ,1.00 ,(18.00),(1.00),12.00 ,29.00 
Inflation,%,0 ,1.00 ,3.00 ,2.00 ,8.00 ,7.00 ,5.00 ,1 ,15.00 ,53.00 ,93.00 ,14.00 ,55.00 ,49.00 ,25.00 ,63.00 ,266.00 ,353.00 ,354.00 ,279.00 ,2.00 ,15.00 ,37.00 ,29.00 ,24.00 
December of reported year compared to december last year,%,(6.00),8.00 ,4 ,3 ,95.00 ,84.00 ,66.00 ,126.00 ,199.00 ,652.00 ,"1,175.00 ","1,813.00 ",681.00 ,604.00 ,184.00 ,6.00 ,474.00 ,26.00 ,298.00 ,523.00 ,19.00 ,181.00 ,455.00 ,358.00 ,294.00 
