Items,Unit,Q1/2005,Q2/2005,6M/2005,Q3/2005,9M/2005,Q4/2005,Q1/2006,Q2/2006,6M/2006,Q3/2006,9M/2006,Q4/2006,Q1/2007,Q2/2007,6M/2007,Q3/2007,9M/2007,Q4/2007,Q1/2008,Q2/2008,6M/2008,Q3/2008,9M/2008,Q4/2008,Q1/2009,Q2/2009,6M/2009,Q3/2009,9M/2009,Q4/2009,Q1/2010,Q2/2010,6M/2010,Q3/2010,9M/2010,Q4/2010,Q1/2011,Q2/2011,6M/2011,Q3/2011,9M/2011,Q4/2011,Q1/2012,Q2/2012,6M/2012,Q3/2012,9M/2012,Q4/2012,Q1/2013,Q2/2013,6M/2013,Q3/2013,9M/2013,Q4/2013,Q1/2014,Q2/2014,6M/2014,Q3/2014,9M/2014,Q4/2014,Q1/2015,Q2/2015,6M/2015,Q3/2015,9M/2015,Q4/2015,Q1/2016,Q2/2016,6M/2016,Q3/2016,9M/2016,Q4/2016,Q1/2017,Q2/2017,6M/2017,Q3/2017,9M/2017,Q4/2017,Q1/2018,Q2/2018,6M/2018,Q3/2018,9M/2018,Q4/2018,Q1/2019,Q2/2019,6M/2019,Q3/2019,9M/2019,Q4/2019,Q1/2020,Q2/2020,6M/2020,Q3/2020,9M/2020,Q4/2020,Q1/2021,Q2/2021,6M/2021,Q3/2021,9M/2021,Q4/2021,Q1/2022,Q2/2022,6M/2022,Q3/2022,9M/2022,Q4/2022,Q1/2023,Q2/2023,6M/2023,Q3/2023,9M/2023,Q4/2023,Q1/2024,Q2/2024,6M/2024,Q3/2024,9M/2024,Q4/2024
Agriculture,%,"1,569.00 ",,"2,211.00 ",,206.00 ,,144.00 ,,"2,071.00 ",,"2,008.00 ",,142.00 ,,207.00 ,,"2,006.00 ",,"1,372.00 ",,"2,176.00 ",,"2,159.00 ",,149.00 ,,223.00 ,,"2,162.00 ",,"1,491.00 ",,"2,188.00 ",,"2,109.00 ",,"1,535.00 ",,"2,277.00 ",,215.00 ,,155.00 ,,"2,213.00 ",,"2,084.00 ",,"1,325.00 ",,"1,818.00 ",,"1,785.00 ",,"1,288.00 ","2,168.00 ","1,769.00 ","1,692.00 ",174.00 ,,"1,235.00 ",,"1,673.00 ",,,,"1,144.00 ",,"1,574.00 ",,"1,554.00 ",,777.00 ,,"1,506.00 ",,"1,466.00 ",,"1,034.00 ",173.00 ,"1,415.00 ","1,361.00 ","1,393.00 ","1,583.00 ","1,016.00 ","1,633.00 ","1,355.00 ","1,265.00 ",132.00 ,"1,545.00 ","1,011.00 ","1,769.00 ","1,416.00 ","1,386.00 ","1,405.00 ","1,646.00 ","1,171.00 ","1,261.00 ","1,215.00 ","1,423.00 ","1,279.00 ","1,144.00 ","1,094.00 ","1,118.00 ","1,105.00 ","1,138.00 ","1,127.00 ","1,295.00 ","1,166.00 ","1,097.00 ","1,132.00 ","1,176.00 ","1,151.00 ","1,238.00 ","1,177.00 ",113.00 ,"1,155.00 ",117.00 ,"1,164.00 ","1,259.00 "
Industry,%,"4,303.00 ",,"3,979.00 ",,413.00 ,,432.00 ,,"4,053.00 ",,415.00 ,,433.00 ,,405.00 ,,"4,167.00 ",,"4,229.00 ",,393.00 ,,"3,986.00 ",,423.00 ,,"3,931.00 ",,"3,993.00 ",,"4,275.00 ",,"3,995.00 ",,"4,085.00 ",,"4,305.00 ",,399.00 ,,"4,066.00 ",,"4,306.00 ",,"4,026.00 ",,"4,098.00 ",,"4,023.00 ",,387.00 ,,"3,786.00 ",,"4,032.00 ","3,737.00 ",387.00 ,"3,695.00 ","3,804.00 ",,348.00 ,,"3,345.00 ",,,,"3,424.00 ",,"3,294.00 ",,"3,248.00 ",,"3,406.00 ",,"3,276.00 ",,325.00 ,,"3,526.00 ",325.00 ,"3,378.00 ","3,294.00 ","3,349.00 ","3,582.00 ","3,525.00 ","3,329.00 ",342.00 ,"3,363.00 ","3,398.00 ","3,553.00 ","3,552.00 ","3,186.00 ","3,344.00 ","3,259.00 ","3,316.00 ","3,481.00 ","3,645.00 ","3,841.00 ","3,761.00 ","3,879.00 ","3,803.00 ",383.00 ,"3,797.00 ","4,043.00 ",393.00 ,"3,999.00 ","3,869.00 ","3,778.00 ","3,547.00 ","3,764.00 ","3,662.00 ","3,812.00 ","3,716.00 ","3,746.00 ","3,573.00 ","3,704.00 ","3,644.00 ","3,833.00 ",371.00 ,"3,776.00 "
Services,%,"4,128.00 ",,381.00 ,,381.00 ,,424.00 ,,"3,876.00 ",,"3,842.00 ",,425.00 ,,388.00 ,,"3,827.00 ",,"4,399.00 ",,"3,894.00 ",,"3,855.00 ",,428.00 ,,"3,839.00 ",,"3,845.00 ",,"4,234.00 ",,"3,817.00 ",,"3,806.00 ",,416.00 ,,"3,733.00 ",,"3,784.00 ",,"4,144.00 ",,"3,761.00 ",,"3,818.00 ",,"4,652.00 ",,"4,312.00 ",,"4,429.00 ",,468.00 ,"4,096.00 ","4,361.00 ","4,614.00 ","4,456.00 ",,"4,223.00 ",,"3,961.00 ",,,,"4,361.00 ",,"4,101.00 ",,418.00 ,,"4,399.00 ",,"4,184.00 ",,"4,267.00 ",,"4,377.00 ",402.00 ,"4,182.00 ","4,374.00 ","4,254.00 ",385.00 ,"4,404.00 ","4,044.00 ","4,204.00 ","4,389.00 ","4,274.00 ","3,942.00 ","4,371.00 ","4,032.00 ","4,204.00 ","4,392.00 ","4,273.00 ","3,945.00 ",422.00 ,"4,014.00 ","4,113.00 ","3,823.00 ","4,019.00 ","4,196.00 ",417.00 ,"3,968.00 ","4,063.00 ","4,029.00 ","4,131.00 ",413.00 ,"4,365.00 ","4,294.00 ","4,325.00 ","4,192.00 ","4,272.00 ","4,235.00 ","4,348.00 ","4,334.00 ","4,335.00 ","4,185.00 ",428.00 ,"4,204.00 "
Real GDP growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total GDP,%,72.00 ,,763.00 ,,81.00 ,,72.00 ,,74.00 ,,784.00 ,,77.00 ,,787.00 ,,816.00 ,,743.00 ,57.00 ,65.00 ,,652.00 ,,31.00 ,,39.00 ,,456.00 ,,583.00 ,,616.00 ,,652.00 ,,543.00 ,567.00 ,557.00 ,607.00 ,576.00 ,,4 ,,438.00 ,,473.00 ,,476.00 ,5 ,49.00 ,554.00 ,514.00 ,604.00 ,506.00 ,,518.00 ,,562.00 ,,603.00 ,,628.00 ,,65.00 ,,546.00 ,,552.00 ,,593.00 ,,51.00 ,617.00 ,573.00 ,746.00 ,641.00 ,,738.00 ,679.00 ,708.00 ,688.00 ,698.00 ,731.00 ,679.00 ,671.00 ,676.00 ,731.00 ,698.00 ,697.00 ,382.00 ,36.00 ,181.00 ,262.00 ,212.00 ,448.00 ,448.00 ,661.00 ,564.00 ,(617.00),142.00 ,522.00 ,503.00 ,772.00 ,642.00 ,"1,367.00 ",883.00 ,592.00 ,332.00 ,414.00 ,372.00 ,533.00 ,424.00 ,672.00 ,566.00 ,693.00 ,642.00 ,74.00 ,682.00 ,755.00 
Agriculture,%,41.00 ,,423.00 ,,41.00 ,,21.00 ,,3 ,,332.00 ,,23.00 ,,267.00 ,,302.00 ,,286.00 ,32.00 ,304.00 ,,357.00 ,,4.00 ,,125.00 ,,157.00 ,,345.00 ,,331.00 ,,289.00 ,,205.00 ,202.00 ,208.00 ,,239.00 ,,284.00 ,,281.00 ,,248.00 ,,224.00 ,,207.00 ,,239.00 ,,237.00 ,,296.00 ,,3 ,,214.00 ,,236.00 ,,177.00 ,,(123.00),,(18.00),,65.00 ,,138.00 ,,265.00 ,,278.00 ,,405.00 ,,393.00 ,346.00 ,365.00 ,39.00 ,268.00 ,219.00 ,239.00 ,153.00 ,202.00 ,162.00 ,8.00 ,172.00 ,119.00 ,293.00 ,184.00 ,469.00 ,316.00 ,411.00 ,382.00 ,104.00 ,274.00 ,316.00 ,245.00 ,302.00 ,278.00 ,324.00 ,299.00 ,385.00 ,252.00 ,325.00 ,307.00 ,372.00 ,343.00 ,413.00 ,298.00 ,334.00 ,338.00 ,258.00 ,32.00 ,299.00 
Industry,%,85.00 ,,95.00 ,,10 ,,87.00 ,,93.00 ,,985.00 ,,93.00 ,,988.00 ,,"1,015.00 ",,815.00 ,6 ,7 ,,709.00 ,,15.00 ,,348.00 ,,448.00 ,,565.00 ,,65.00 ,,729.00 ,,547.00 ,446.00 ,649.00 ,,662.00 ,,294.00 ,,381.00 ,,436.00 ,,493.00 ,,518.00 ,,52.00 ,,469.00 ,,533.00 ,,642.00 ,,835.00 ,,909.00 ,,969.00 ,,672.00 ,,712.00 ,,75.00 ,,417.00 ,,581.00 ,,717.00 ,,97.00 ,,907.00 ,861.00 ,889.00 ,865.00 ,863.00 ,914.00 ,893.00 ,"1,005.00 ",936.00 ,792.00 ,515.00 ,138.00 ,298.00 ,295.00 ,308.00 ,56.00 ,63.00 ,"1,028.00 ",836.00 ,(502.00),357.00 ,561.00 ,638.00 ,887.00 ,77.00 ,"1,291.00 ",944.00 ,422.00 ,(4.00),25.00 ,113.00 ,519.00 ,241.00 ,735.00 ,628.00 ,829.00 ,751.00 ,911.00 ,819.00 ,835.00 
Services,%,7 ,,76.00 ,,82.00 ,,74.00 ,,77.00 ,,803.00 ,,78.00 ,,841.00 ,,854.00 ,,805.00 ,71.00 ,76.00 ,,723.00 ,,54.00 ,,55.00 ,,591.00 ,,664.00 ,,705.00 ,,724.00 ,,628.00 ,644.00 ,612.00 ,,624.00 ,,531.00 ,,557.00 ,,597.00 ,,565.00 ,,592.00 ,,625.00 ,,595.00 ,,601.00 ,,599.00 ,,582.00 ,,59.00 ,,617.00 ,,613.00 ,,635.00 ,,666.00 ,,652.00 ,,685.00 ,,725.00 ,,67.00 ,,69.00 ,687.00 ,689.00 ,761.00 ,65.00 ,685.00 ,669.00 ,711.00 ,685.00 ,809.00 ,327.00 ,(176.00),57.00 ,275.00 ,137.00 ,429.00 ,334.00 ,43.00 ,396.00 ,(928.00),69.00 ,542.00 ,458.00 ,856.00 ,66.00 ,"1,886.00 ","1,057.00 ",812.00 ,679.00 ,611.00 ,633.00 ,624.00 ,632.00 ,729.00 ,612.00 ,706.00 ,664.00 ,751.00 ,695.00 ,821.00 
GDP value (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP at constant prices (2010),Billion Dong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"480,455 ","614,902 ","1,095,357 ","643,601 ","1,738,985 ","804,599 ","503,683 ","648,415 ","1,152,098 ","684,534 ","1,836,632 ","859,164 ","534,573 ","690,305 ","1,224,878 ","729,625 ","1,954,503 ","921,353 ","564,255 ","728,713 ","1,292,968 ","777,912 ","2,070,880 ","983,590 ","593,170 ","775,495 ","1,368,665 ","836,270 ","2,204,935 ","1,057,613 ","637,244 ","23,589,425.00 ","1,466,960 ","1,466,960 ","23,589,425.00 ","1,134,963 ","681,010 ","884,508 ","1,565,704 ","957,109 ","2,522,978 ","1,214,052 ","707,223 ","887,862 ","1,594,140 ","983,730 ","2,578,108 ","1,268,385 ","1,189,216 ","1,248,813 ","2,443,187 ","1,201,066 ","3,643,802 ","1,467,490 ","1,255,312 ","1,346,821 ","2,602,382 ","1,376,321 ","4,006,189 ","1,538,951 ","1,320,755 ","1,407,473 ","2,727,672 ","1,450,322 ","4,176,814 ","1,643,902 ","1,396,660 ","1,508,387 ","2,907,904 ","1,561,963 ","4,472,215 ","1,773,652 "
