Items,Unit,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Population,Million people,"7,711.00 ","7,812.00 ","7,908.00 ",80 ,"8,095.00 ","8,191.00 ","8,411.00 ","8,512.00 ","8,616.00 ","8,602.00 ","8,693.00 ","8,784.00 ","8,878.00 ","8,971.00 ","9,073.00 ",917.00 ,927.00 ,"9,368.00 ","9,467.00 ",965.00 ,"9,758.00 ","9,851.00 ","9,947.00 ","10,031.00 "
Population density   ,People/km2,234 ,237 ,241 ,245 ,248 ,247 ,"25,357.00 ","25,662.00 ","25,975.00 ","25,864.00 ","26,207.00 ","26,482.00 ","26,765.00 ","27,046.00 ","27,353.00 ","27,064.00 ",280 ,283 ,286 ,291 ,295 ,298 ,300 ,303 
Population growth rate,%,14.00 ,13.00 ,12.00 ,12.00 ,12.00 ,117.00 ,121.00 ,121.00 ,107.00 ,106.00 ,105.00 ,104.00 ,106.00 ,105.00 ,108.00 ,107.00 ,11.00 ,106.00 ,106.00 ,115.00 ,114.00 ,95.00 ,98.00 ,85.00 
Population area urban rate,%,"2,412.00 ","2,455.00 ","2,499.00 ","2,576.00 ","2,653.00 ",271.00 ,"2,713.00 ","2,823.00 ","2,786.00 ",296.00 ,299.00 ,306.00 ,"3,245.00 ","3,236.00 ",331.00 ,343.00 ,346.00 ,35 ,357.00 ,35 ,"3,682.00 ",371.00 ,376.00 ,381.00 
Employment,,,,,,,,,,,,,,,,,,,,,,,,,
Employed a,Million people,376.00 ,385.00 ,395.00 ,406.00 ,416.00 ,428.00 ,44 ,452.00 ,465.00 ,477.00 ,49 ,504.00 ,514.00 ,522.00 ,"5,302.00 ","5,461.00 ","5,329.00 ","5,372.00 ","5,539.00 ",558.00 ,"5,484.00 ",505.00 ,517.00 ,524.00 
"Agriculture, forestry and Fishery",Million people,,,,,,,,,,,,,,,"2,469.00 ","2,343.00 ","2,233.00 ","2,163.00 ","2,068.00 ",188.00 ,"1,772.00 ",143.00 ,139.00 ,138.00 
Industry & Construction,Million people,,,,,,,,,,,,,,,"1,136.00 ","1,212.00 ","1,316.00 ","1,383.00 ","1,444.00 ",165.00 ,"1,599.00 ",158.00 ,164.00 ,167.00 
Services,Million people,,,,,,,,,,,,,,,"1,696.00 ","1,735.00 ",178.00 ,"1,826.00 ","1,916.00 ","1,961.00 ","1,938.00 ","1,858.00 ","1,969.00 ","2,029.00 "
Unemployed,Million people,9.00 ,1 ,9.00 ,9.00 ,9.00 ,8.00 ,23.00 ,2 ,17.00 ,16.00 ,13.00 ,1 ,9.00 ,9.00 ,57.00 ,4.00 ,55.00 ,55.00 ,55.00 ,56.00 ,71.00 ,8.00 ,54.00 ,53.00 
"Labor force   annual change, percent",%,22.00 ,26.00 ,23.00 ,27.00 ,24.00 ,26.00 ,61.00 ,2 ,22.00 ,23.00 ,22.00 ,2 ,24.00 ,17.00 ,93.00 ,4.00 ,4.00 ,62.00 ,104.00 ,68.00 ,(78.00),(17.00),23.00 ,13.00 
Labor force participation rate   percent,%,496.00 ,502.00 ,507.00 ,511.00 ,518.00 ,525.00 ,71 ,747.00 ,755.00 ,765.00 ,774.00 ,77 ,768.00 ,775.00 ,"6,005.00 ","5,955.00 ",572.00 ,57 ,569.00 ,567.00 ,522.00 ,498.00 ,509.00 ,511.00 
Male,%,508.00 ,514.00 ,521.00 ,527.00 ,538.00 ,557.00 ,781.00 ,788.00 ,801.00 ,818.00 ,82 ,817.00 ,812.00 ,822.00 ,513.00 ,517.00 ,"4,965.00 ","4,969.00 ","4,972.00 ","4,977.00 ",526.00 ,535.00 ,532.00 ,532.00 
Female,%,484.00 ,49 ,493.00 ,495.00 ,499.00 ,512.00 ,644.00 ,709.00 ,713.00 ,714.00 ,73 ,726.00 ,725.00 ,713.00 ,487.00 ,483.00 ,"5,035.00 ","5,031.00 ","5,028.00 ","5,023.00 ",474.00 ,465.00 ,468.00 ,468.00 
Urban unemployment rate,%,23.00 ,25.00 ,22.00 ,22.00 ,21.00 ,25.00 ,49.00 ,41.00 ,36.00 ,32.00 ,27.00 ,2 ,18.00 ,19.00 ,343.00 ,329.00 ,321.00 ,318.00 ,31.00 ,311.00 ,389.00 ,433.00 ,282.00 ,275.00 
